,Adjektiv,P(han),P(hun),Differanse
0,abiotisk,0.3402559459209442,0.02719765156507492,0.3130582943558693
69,etiopisk,0.44742777943611145,0.1348886787891388,0.31253910064697266
33,astrologisk,0.37427371740341187,0.07610774785280228,0.2981659695506096
66,erfaren,0.3822876811027527,0.09515684098005295,0.28713084012269974
158,matematisk,0.33307749032974243,0.046145934611558914,0.2869315557181835
9,aforistisk,0.33667558431625366,0.054140642285346985,0.2825349420309067
29,arbeidsom,0.3320642113685608,0.0579829066991806,0.2740813046693802
81,forstandig,0.33653444051742554,0.06841032207012177,0.26812411844730377
61,dyktig,0.300317645072937,0.03364012390375137,0.26667752116918564
42,bibliofil,0.2791750431060791,0.01961975358426571,0.2595552895218134
248,togolesisk,0.4391469955444336,0.18637262284755707,0.2527743726968765
123,ivoriansk,0.32902273535728455,0.07927867025136948,0.24974406510591507
22,analytisk,0.2935076653957367,0.05905792489647865,0.23444974049925804
2,adekvat,0.2731863260269165,0.04351283237338066,0.22967349365353584
141,kroatisk,0.2723638713359833,0.06315193325281143,0.20921193808317184
6,adverbial,0.22950899600982666,0.021473810076713562,0.2080351859331131
190,pragmatisk,0.2875479757785797,0.08466271311044693,0.20288526266813278
79,forhenværende,0.2839680314064026,0.08272962272167206,0.20123840868473053
12,agitatorisk,0.26403185725212097,0.06659060716629028,0.1974412500858307
114,holomorf,0.23364482820034027,0.03704657778143883,0.19659825041890144
31,ariansk,0.28761330246925354,0.0936519056558609,0.19396139681339264
242,sørafrikansk,0.2980930805206299,0.10415217280387878,0.1939409077167511
13,agrarisk,0.21718113124370575,0.023497765883803368,0.19368336535990238
167,muskuløs,0.24233843386173248,0.05128834769129753,0.19105008617043495
32,aristokratisk,0.2901666462421417,0.10263081640005112,0.1875358298420906
246,tallrik,0.2166002094745636,0.040790919214487076,0.17580929026007652
125,jemenittisk,0.2081393152475357,0.03452759608626366,0.17361171916127205
222,snakkesalig,0.21658070385456085,0.04351263865828514,0.1730680651962757
75,fiolett,0.18214888870716095,0.01878982037305832,0.16335906833410263
117,indonesisk,0.29637086391448975,0.14217859506607056,0.1541922688484192
130,keiserlig,0.1874302625656128,0.03762117773294449,0.1498090848326683
119,innadvendt,0.21435092389583588,0.06582295149564743,0.14852797240018845
11,aggressiv,0.16679339110851288,0.018424028530716896,0.14836936257779598
57,doktrinær,0.2881852388381958,0.14458051323890686,0.14360472559928894
204,rettskaffen,0.1725095808506012,0.030020099133253098,0.1424894817173481
99,generøs,0.1723470687866211,0.034395329654216766,0.13795173913240433
200,rask,0.20078898966312408,0.06363021582365036,0.13715877383947372
165,muhammedansk,0.18250179290771484,0.04658140242099762,0.13592039048671722
128,jødisk,0.27058544754981995,0.13606980443000793,0.134515643119812
189,possessiv,0.16830629110336304,0.03600221872329712,0.13230407238006592
18,alkoholisk,0.2868296802043915,0.15573732554912567,0.1310923546552658
196,profesjonell,0.17385107278823853,0.04340353608131409,0.13044753670692444
208,sentral,0.1643199622631073,0.03438068553805351,0.1299392767250538
259,uakademisk,0.18402375280857086,0.054746586829423904,0.12927716597914696
107,gudbenådet,0.2027260959148407,0.07507414370775223,0.12765195220708847
168,måteholden,0.18752403557300568,0.06111958250403404,0.12640445306897163
188,polemisk,0.1679028570652008,0.04284551367163658,0.12505734339356422
5,adstadig,0.2047610729932785,0.08106768131256104,0.12369339168071747
132,kjempefin,0.16443690657615662,0.04434424266219139,0.12009266391396523
47,bornert,0.15881897509098053,0.0443582646548748,0.11446071043610573
27,arbeidsledig,0.03803037479519844,0.4056410789489746,-0.36761070415377617
101,gift,0.0831867903470993,0.25591856241226196,-0.17273177206516266
142,kroppslig,0.08790560811758041,0.2328266203403473,-0.14492101222276688
174,omsorgsfull,0.12605370581150055,0.25840526819229126,-0.1323515623807907
264,ugift,0.02983207441866398,0.15953125059604645,-0.12969917617738247
113,hjemmeværende,0.06770574301481247,0.18222676217556,-0.11452101916074753
53,dansk,0.09431149810552597,0.1898050159215927,-0.09549351781606674
227,språklig,0.12178373336791992,0.20810246467590332,-0.0863187313079834
21,amerikansk,0.15531443059444427,0.2409064918756485,-0.08559206128120422
54,diskré,0.09332196414470673,0.1771218478679657,-0.08379988372325897
124,japansk,0.08733775466680527,0.16906888782978058,-0.08173113316297531
