,Adjektiv,P(han),P(hun),Differanse
412,tallmessig,0.006698559504002333,0.6026890277862549,-0.5959904682822526
257,litterær,0.0041833557188510895,0.6083990593906492,-0.6042157036717981
371,sjenerøs,0.004573311656713486,0.6351770758628845,-0.630603764206171
102,engelsk,0.00582562480121851,0.6570487776771188,-0.6512231528759003
394,storartet,0.0051322742365300655,0.6575099229812622,-0.6523776487447321
123,flerdimensjonal,0.009319066070020199,0.6635710597038269,-0.6542519936338067
181,homogen,0.009638353250920773,0.6662070751190186,-0.6565687218680978
362,sannsynlig,0.005160527303814888,0.6665614247322083,-0.6614008974283934
243,kulturmessig,0.0032428523991256952,0.6668626808095723,-0.6636198284104466
64,berømt,0.003150795353576541,0.6705466508865356,-0.6673958555329591
62,belærende,0.004012059886008501,0.6720730662345886,-0.6680610063485801
417,todimensjonal,0.011437035165727139,0.6804116368293762,-0.6689746016636491
389,språklig,0.004306406248360872,0.6749805165454745,-0.6706741102971137
55,barmhjertig,0.005267722066491842,0.6824302673339844,-0.6771625452674925
403,substantivisk,0.008115672506392002,0.6854962562210858,-0.6773805837146938
395,storslagen,0.004870508331805468,0.6846067309379578,-0.6797362226061523
197,injektiv,0.007574971299618483,0.6874571400694549,-0.6798821687698364
132,fornuftig,0.004730230197310448,0.6858528852462769,-0.6811226550489664
175,hardnakka,0.004950431175529957,0.6865839958190918,-0.6816335646435618
244,kunst,0.002948074135929346,0.6913511361926794,-0.6884030620567501
345,rasjonell,0.004523731768131256,0.6944407820701599,-0.6899170503020287
119,firkantet,0.008287174627184868,0.6991191506385803,-0.6908319760113955
70,blakk som en kirkerotte,0.007009358145296574,0.697938859462738,-0.6909295013174415
203,intuitiv,0.004625089932233095,0.6957268067635596,-0.6911017168313265
33,analytisk,0.004624477121978998,0.6959026665426791,-0.6912781894207001
191,idiomatisk,0.007567256689071655,0.699057181365788,-0.6914899246767163
393,storarta,0.0032486896961927414,0.6964029669761658,-0.693154277279973
363,sarkastisk,0.002658688696101308,0.6963443756103516,-0.6936856869142503
189,høytidelig,0.004605969414114952,0.6984285116195679,-0.6938225422054529
200,internasjonal,0.0042422194965183735,0.698483943939209,-0.6942417244426906
85,diffus,0.00729862367734313,0.7016087174415588,-0.6943100937642157
279,moden,0.00534222275018692,0.7013938203454018,-0.6960515975952148
202,intrikat,0.005128777120262384,0.7019921541213989,-0.6968633770011365
68,biomimetisk,0.004661511164158583,0.7024034261703491,-0.6977419150061905
125,fonetisk,0.008296383544802666,0.7060644621960819,-0.6977680786512792
223,klassisk,0.002719786250963807,0.7007341966964304,-0.6980144104454666
330,possessiv,0.009324287995696068,0.7079573050141335,-0.6986330170184374
9,adjektivisk,0.007505080662667751,0.7075842027552426,-0.7000791220925748
325,poetisk,0.003562874859198928,0.7039478574879467,-0.7003849826287478
5,additiv,0.007178933825343847,0.7085114121437073,-0.7013324783183634
250,latterlig,0.0029103653505444527,0.7045601606369019,-0.7016497952863574
67,beundringsverdig,0.0027713824529200792,0.7049342393875122,-0.7021628569345921
322,pen,0.004949010442942381,0.7077295780181885,-0.7027805675752461
52,avslappa,0.003389820922166109,0.7072328329086304,-0.7038430119864643
50,atypisk,0.0034317884128540754,0.7085196375846863,-0.7050878491718322
366,selsom,0.00482358131557703,0.7102441191673279,-0.7054205378517509
273,melankolsk,0.004570572171360254,0.7116921544075012,-0.707121582236141
118,firedimensjonal,0.007403931114822626,0.7165598273277283,-0.7091558962129056
259,lovmessig,0.005375826731324196,0.7150982050225139,-0.7097223782911897
469,vanlig,0.006005076225847006,0.7157818078994751,-0.7097767316736281
321,peloponnesisk,0.00464605912566185,0.9034618416335434,-0.8988157825078815
171,gulaktig,0.006453047972172499,0.8834211826324463,-0.8769681346602738
46,armensk,0.004473879933357239,0.8812731504440308,-0.8767992705106735
43,ariansk,0.006126295775175095,0.8816584348678589,-0.8755321390926838
367,serbokroatisk,0.005248872563242912,0.8798712491989136,-0.8746223766356707
208,jambisk,0.006239073816686869,0.8786735704634339,-0.872434496646747
226,knuslete,0.0025702386628836393,0.871408224105835,-0.8688379854429513
368,sinober,0.005844807252287865,0.8720647692680359,-0.866219962015748
214,kambodsjansk,0.0054845563136041164,0.8715569972991943,-0.8660724409855902
316,papuansk,0.0042647202499210835,0.8702129125595093,-0.8659481923095882
22,albansk,0.003521556966006756,0.8692314028739929,-0.8657098459079862
241,kroatisk,0.005971899256110191,0.8696640133857727,-0.8636921141296625
2,abkhasisk,0.00993418600410223,0.8693265914916992,-0.859392405487597
164,grei,0.002893958706408739,0.8603981733322144,-0.8575042146258056
239,kristadelfiansk,0.004206130281090736,0.861592173576355,-0.8573860432952642
406,svart,0.003350164508447051,0.8603585958480835,-0.8570084313396364
478,vettug,0.0030169247183948755,0.8591985702514648,-0.85618164553307
220,kjempeglad,0.0036594660487025976,0.8590282797813416,-0.855368813732639
409,sørsamisk,0.0026915897615253925,0.8562228679656982,-0.8535312782041728
319,parisk,0.0043142144568264484,0.8578044970054179,-0.8534902825485915
357,romersk,0.0061399550177156925,0.8581385430879891,-0.8519985880702734
127,forfjamset,0.002978541888296604,0.8548821210861206,-0.851903579197824
426,turkis,0.004552451428025961,0.8560361266136169,-0.851483675185591
455,uregelmessig,0.0032359908800572157,0.8544633984565735,-0.8512274075765163
324,plagsom,0.0023121614940464497,0.8522958159446716,-0.8499836544506252
233,konsentrisk,0.005497097969055176,0.8550381145905703,-0.8495410166215152
482,voldsom,0.0035339826717972755,0.8525370955467224,-0.8490031128749251
290,nektende,0.0018889961065724492,0.8500709214713424,-0.84818192536477
457,urugayansk,0.006410886533558369,0.8539705276489258,-0.8475596411153674
314,panamansk,0.005257195793092251,0.8514778017997742,-0.8462206060066819
337,pyreneisk,0.004416047595441341,0.8503854870796204,-0.845969439484179
422,tsjadisk,0.006047340109944344,0.8514147996902466,-0.8453674595803022
410,tadsjikisk,0.006204793229699135,0.8508718609809875,-0.8446670677512884
445,uheldig,0.002621279563754797,0.8468036651611328,-0.844182385597378
228,kommunistisk,0.007830081507563591,0.8511753678321838,-0.8433452863246202
339,radig,0.0037725691217929125,0.8468568325042725,-0.8430842633824795
271,masse,0.003229931928217411,0.846001386642456,-0.8427714547142386
137,framifrå,0.0049543133936822414,0.8467495881486684,-0.8417952747549862
77,bråkjekk,0.0031802307348698378,0.8446570038795471,-0.8414767731446773
374,skarp,0.0033329790458083153,0.8445149064064026,-0.8411819273605943
40,arabisk,0.00555288465693593,0.8466187156736851,-0.8410658310167491
404,sumerisk,0.008618319407105446,0.8486356139183044,-0.840017294511199
359,rwandisk,0.0046204980462789536,0.8441435098648071,-0.8395230118185282
429,tynn,0.0041588228195905685,0.8432623744010925,-0.839103551581502
81,bægjen,0.0038055514451116323,0.8424285054206848,-0.8386229539755732
32,anal,0.004982816521078348,0.8410615085158497,-0.8360786919947714
