,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
0,aabenbar,0.004103470128029585,0.8312798389233649,-0.8271763687953353,0.004936328220523439,202.57972228069588
1,abdominal,0.0034938855096697807,0.8389777541160583,-0.8354838686063886,0.004164455484699849,240.127431707215
2,abkhasisk,0.00993418600410223,0.8693265914916992,-0.859392405487597,0.011427449823035911,87.50858813522505
3,abrupt,0.00391831248998642,0.832938606152311,-0.8290202936623245,0.004704203240244477,212.57584949667907
4,abstrakt,0.00427838834002614,0.7575171757489443,-0.7532387874089181,0.005647909350433105,177.05666609598043
5,additiv,0.007178933825343847,0.7085114121437073,-0.7013324783183634,0.010132418056080296,98.69312482620244
6,adekvat,0.004488775972276926,0.7255431413650513,-0.7210543653927743,0.006186780242773233,161.63496370637995
7,adelgod,0.0038834847509860992,0.8285739421844482,-0.8246904574334621,0.0046869501359742246,213.35836119198245
8,adelig,0.003887749509885907,0.8123967051506042,-0.8085089556407183,0.004785530868401523,208.96323260663092
9,adjektivisk,0.007505080662667751,0.7075842027552426,-0.7000791220925748,0.01060662552024752,94.28069258135397
10,affektiv,0.004319019615650177,0.7200141549110413,-0.7156951352953911,0.005998520426565499,166.707776066132
11,affin,0.003994414117187262,0.8261107802391052,-0.822116366121918,0.004835203961424083,206.81650825448864
12,aforistisk,0.0036125367041677237,0.7486203473526984,-0.7450078106485307,0.004825592460774707,207.22844047204492
13,afrikansk,0.00454202713444829,0.7939656376838684,-0.7894236105494201,0.005720684773837503,174.80424801123732
14,aggressiv,0.0046585495583713055,0.7954887272790074,-0.7908301777206361,0.005856210652168525,170.75888477982008
15,agitatorisk,0.004069761373102665,0.8039633946027607,-0.799893633229658,0.005062122729000042,197.54558582137284
16,agnostisk,0.00522861210629344,0.766543984413147,-0.7613153723068535,0.006821020336225554,146.60563239917784
17,agrarisk,0.005963257979601622,0.7945572137832642,-0.7885939558036625,0.007505133521106326,133.24213315962308
18,agronomisk,0.0058146691881120205,0.7365188002586365,-0.7307041310705245,0.007894800765533937,126.66564105907091
19,akademisk,0.004380275961011648,0.7150058168917894,-0.7106255409307778,0.0061262102454679316,163.2330527245263
20,akseptabel,0.0027563150506466627,0.8107707500457764,-0.8080144349951297,0.0033996231986551566,294.15024594360517
21,aktivistisk,0.003950904589146376,0.792796790599823,-0.7888458860106766,0.004983502249242402,200.66209464478945
22,albansk,0.003521556966006756,0.8692314028739929,-0.8657098459079862,0.0040513457686448245,246.8315609443773
23,algebraisk,0.006230724044144154,0.7513010166585445,-0.7450702926144004,0.008293245857506843,120.58004998065077
24,alifatisk,0.003579716896638274,0.8364453315734863,-0.832865614676848,0.0042796782545301065,233.6624251931753
25,alkalisk,0.005178564693778753,0.8264439702033997,-0.8212654055096209,0.0062660807997718644,159.5893880009348
26,alkoholisk,0.0037862772587686777,0.7897754907608032,-0.7859892135020345,0.0047941184590589115,208.58892172562224
27,all slags,0.002908016089349985,0.774602472782135,-0.771694456692785,0.00375420450041333,266.3680148190921
28,allegorisk,0.003256040159612894,0.7375915395095944,-0.7343354993499815,0.004414421783874786,226.53023407342914
29,allsidig,0.005521328188478947,0.7360904216766357,-0.7305690934881568,0.007500883078878676,133.31763600153226
30,allvitende,0.004426767583936453,0.7394179701805115,-0.734991202596575,0.005986827156575275,167.03338410258087
31,altetende,0.005717865191400051,0.809608519077301,-0.803890653885901,0.00706250620721805,141.59279590833862
32,anal,0.004982816521078348,0.8410615085158497,-0.8360786919947714,0.005924437714277407,168.79238979761445
33,analytisk,0.004624477121978998,0.6959026665426791,-0.6912781894207001,0.0066452930047730795,150.4824541644342
34,anglikansk,0.004662059247493744,0.7433635904453695,-0.7387015311978757,0.0062715733019700045,159.4496232206811
35,annerledes,0.00303257186897099,0.8108033537864685,-0.8077707819174975,0.003740206370396492,267.3649261481772
36,anstendig,0.002487516961991787,0.8074937595520169,-0.8050062425900251,0.003080540168349805,324.61839331758614
37,antropocen,0.004265166819095612,0.7748133540153503,-0.7705481871962547,0.0055047667893074435,181.66073846078598
38,aparte,0.0032550934702157974,0.7637928128242493,-0.7605377193540335,0.004261749280121602,234.64543178651437
39,apologetisk,0.003582583973184228,0.8240760173648596,-0.8204934333916754,0.004347395019018057,230.02280575503568
40,arabisk,0.00555288465693593,0.8466187156736851,-0.8410658310167491,0.00655889664867295,152.46466800209882
41,arameisk,0.009397159330546856,0.803572416305542,-0.7941752569749951,0.011694228348144018,85.51226897828698
42,arbeidsløs,0.0029421267099678516,0.8128703832626343,-0.8099282565526664,0.0036194290880164413,276.28666722906587
43,ariansk,0.006126295775175095,0.8816584348678589,-0.8755321390926838,0.00694860450815433,143.9137885638015
44,aristokratisk,0.0047288998030126095,0.7727492868434638,-0.7680203870404512,0.006119578346463806,163.4099513699092
45,aritmetisk,0.008746651001274586,0.751056912355125,-0.7423102613538504,0.011645789896064329,85.86794102630583
46,armensk,0.004473879933357239,0.8812731504440308,-0.8767992705106735,0.005076609824210652,196.98185100437323
47,asimutal,0.005124074872583151,0.8224484324455261,-0.817324357572943,0.006230268878191993,160.5067164116033
48,astrologisk,0.004283411893993616,0.7886075973510742,-0.7843241854570806,0.005431613781532866,184.1073464022672
49,asymptomatisk,0.004471737891435623,0.7717346549034119,-0.7672629170119762,0.0057943981950574625,172.58047623530354
50,atypisk,0.0034317884128540754,0.7085196375846863,-0.7050878491718322,0.004843603805468114,206.45784423388739
51,avansert,0.004095227457582951,0.7691532373428345,-0.7650580098852515,0.005324332342057849,187.81697605553694
52,avslappa,0.003389820922166109,0.7072328329086304,-0.7038430119864643,0.00479307628892853,208.6342757176405
53,avslappet,0.0035974737256765366,0.7464468479156494,-0.7428493741899729,0.004819464019068457,207.49195264109218
54,bange,0.004925363231450319,0.8230838179588318,-0.8181584547273815,0.005984036041025255,167.11129297086725
55,barmhjertig,0.005267722066491842,0.6824302673339844,-0.6771625452674925,0.007719062765300526,129.54940650247028
56,barokk,0.004028944298624992,0.8136077802628279,-0.8095788359642029,0.004951949079596414,201.940687177159
57,bedriten,0.006706744898110628,0.7672971487045288,-0.7605904038064182,0.008740740024166655,114.40678904019232
58,befestet,0.0038626519963145256,0.7807513475418091,-0.7768886955454946,0.004947352327314019,202.12831709580564
59,behagelig,0.0035410248674452305,0.7514588236808777,-0.7479177988134325,0.004712200796445767,212.2150653584758
60,behendig,0.0051420084200799465,0.8195721507072449,-0.8144301422871649,0.00627401555267914,159.38755516361104
61,beleven,0.003742328379303217,0.7183588743209839,-0.7146165459416807,0.005209552652691299,191.95506153170206
62,belærende,0.004012059886008501,0.6720730662345886,-0.6680610063485801,0.005969678131109754,167.51321897720163
63,beryktet,0.003218863159418106,0.7151890397071838,-0.7119701765477657,0.004500716566819856,222.18684184029524
64,berømt,0.003150795353576541,0.6705466508865356,-0.6673958555329591,0.0046988458586898416,212.81821750986862
