,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
417,todimensjonal,0.011437035165727139,0.6804116368293762,-0.6689746016636491,0.01680899406574252,59.491959845357115
181,homogen,0.009638353250920773,0.6662070751190186,-0.6565687218680978,0.014467503589929409,69.12042521946105
123,flerdimensjonal,0.009319066070020199,0.6635710597038269,-0.6542519936338067,0.014043810280363339,71.20574687613397
330,possessiv,0.009324287995696068,0.7079573050141335,-0.6986330170184374,0.01317069253986993,75.92615171699056
72,blek,0.010520938783884048,0.8107019066810608,-0.8001809678971767,0.012977567583325179,77.05604255799798
217,keik,0.00934502761811018,0.7402783632278442,-0.7309333356097341,0.012623667099174625,79.21628415449764
119,firkantet,0.008287174627184868,0.6991191506385803,-0.6908319760113955,0.011853737119939147,84.36158064598058
282,mongo,0.009797811508178711,0.8271028995513916,-0.8173050880432129,0.011845940225204021,84.41710670397859
403,substantivisk,0.008115672506392002,0.6854962562210858,-0.6773805837146938,0.011839120101298615,84.46573659560322
125,fonetisk,0.008296383544802666,0.7060644621960819,-0.6977680786512792,0.011750178615417509,85.1050892696977
41,arameisk,0.009397159330546856,0.803572416305542,-0.7941752569749951,0.011694228348144018,85.51226897828698
45,aritmetisk,0.008746651001274586,0.751056912355125,-0.7423102613538504,0.011645789896064329,85.86794102630583
2,abkhasisk,0.00993418600410223,0.8693265914916992,-0.859392405487597,0.011427449823035911,87.50858813522505
205,isotonisk,0.00899262260645628,0.7929887175559998,-0.7839960949495435,0.011340164629544345,88.18214132400833
412,tallmessig,0.006698559504002333,0.6026890277862549,-0.5959904682822526,0.011114454047067858,89.972930363036
197,injektiv,0.007574971299618483,0.6874571400694549,-0.6798821687698364,0.011018827004768866,90.75376168145733
191,idiomatisk,0.007567256689071655,0.699057181365788,-0.6914899246767163,0.010824946643545058,92.3792082242089
177,hebraisk,0.008564348332583904,0.7999212741851807,-0.7913569258525968,0.010706489012069042,93.40130073198934
9,adjektivisk,0.007505080662667751,0.7075842027552426,-0.7000791220925748,0.01060662552024752,94.28069258135397
206,isotropisk,0.007975634187459946,0.760610818862915,-0.7526351846754551,0.010485827955199511,95.36681359569124
85,diffus,0.00729862367734313,0.7016087174415588,-0.6943100937642157,0.010402698107796923,96.12890710060022
416,tjukk,0.007963375188410282,0.7690168619155884,-0.7610534867271781,0.010355267332596391,96.56921138599601
118,firedimensjonal,0.007403931114822626,0.7165598273277283,-0.7091558962129056,0.01033260703776007,96.7809959621558
152,geometrisk,0.007716553285717964,0.7504153847694397,-0.7426988314837217,0.010283042488646239,97.2474830386167
411,taiwanesisk,0.008070229552686214,0.7916832566261292,-0.7836130270734429,0.010193760554036025,98.0992240007118
404,sumerisk,0.008618319407105446,0.8486356139183044,-0.840017294511199,0.010155500506646313,98.46880509193471
300,omansk,0.00820394791662693,0.8087687492370605,-0.8005648013204336,0.01014374989682279,98.5828722288607
5,additiv,0.007178933825343847,0.7085114121437073,-0.7013324783183634,0.010132418056080296,98.69312482620244
70,blakk som en kirkerotte,0.007009358145296574,0.697938859462738,-0.6909295013174415,0.010042940080299101,99.57243516384872
372,sjølstendig,0.007266298867762089,0.7459742426872253,-0.7387079438194633,0.009740683326527036,102.66220207330589
190,i adams drakt,0.007333903573453426,0.7579909563064575,-0.7506570527330041,0.009675449967358597,103.35436629548305
201,intransitiv,0.006839515641331673,0.7216543387621641,-0.7148148231208324,0.0094775507801468,105.51249190822173
260,lutheransk,0.007381329778581858,0.7867792844772339,-0.779397954698652,0.009381703260637187,106.59045295065984
306,organoleptisk,0.007669167593121529,0.8224097490310669,-0.8147405814379454,0.009325239155004012,107.23585565774904
274,mesopotamisk,0.007666028570383787,0.8315438032150269,-0.8238777746446431,0.0092190315660394,108.47126325977115
344,rasjonal,0.007209264673292637,0.7826610831543803,-0.7754518184810877,0.009211221598289953,108.56323337022401
228,kommunistisk,0.007830081507563591,0.8511753678321838,-0.8433452863246202,0.009199140157809824,108.70581193950248
107,esoterisk,0.007072416599839926,0.7702385317534208,-0.7631661151535809,0.009182112174704918,108.90740397997116
405,superlativ,0.006786954123526812,0.7470669117756188,-0.740279957652092,0.009084800861271808,110.07395927223517
285,muhammedansk,0.007354922592639923,0.8221842646598816,-0.8148293420672417,0.008945589095751525,111.78693647743377
323,peruansk,0.007018696516752243,0.7872165441513062,-0.7801978476345539,0.00891583969988723,112.15993486431215
102,engelsk,0.00582562480121851,0.6570487776771188,-0.6512231528759003,0.008866350565043266,112.78597577030501
428,tuvalsk,0.0074228751473128796,0.8378531336784363,-0.8304302585311234,0.008859398919622279,112.87447478915816
280,molar,0.007249963004142046,0.8220512270927429,-0.8148012640886009,0.008819356708197107,113.38695475040203
384,sociniansk,0.007287347223609686,0.8295945469290018,-0.8223071997053921,0.008784227488700393,113.84040330084254
157,glupsk,0.00633774371817708,0.7217720746994019,-0.7154343309812248,0.00878081036983396,113.88470515608108
187,høgferdig,0.00718965008854866,0.8206971883773804,-0.8135075382888317,0.008760417594171958,114.14980955534243
57,bedriten,0.006706744898110628,0.7672971487045288,-0.7605904038064182,0.008740740024166655,114.40678904019232
91,dorsk,0.0072296964935958385,0.8277300000190735,-0.8205003035254776,0.008734365666859053,114.49028334070286
131,fornem,0.006507014390081167,0.7541212437208742,-0.747614229330793,0.00862860507413266,115.89358782891325
