,Adjektiv,P(han),P(hun),Differanse
0,aabenbar,0.004103470128029585,0.8312798389233649,-0.8271763687953353
1,abdominal,0.0034938855096697807,0.8389777541160583,-0.8354838686063886
2,abkhasisk,0.00993418600410223,0.8693265914916992,-0.859392405487597
3,abrupt,0.00391831248998642,0.832938606152311,-0.8290202936623245
4,abstrakt,0.00427838834002614,0.7575171757489443,-0.7532387874089181
5,additiv,0.007178933825343847,0.7085114121437073,-0.7013324783183634
6,adekvat,0.004488775972276926,0.7255431413650513,-0.7210543653927743
7,adelgod,0.0038834847509860992,0.8285739421844482,-0.8246904574334621
8,adelig,0.003887749509885907,0.8123967051506042,-0.8085089556407183
9,adjektivisk,0.007505080662667751,0.7075842027552426,-0.7000791220925748
10,affektiv,0.004319019615650177,0.7200141549110413,-0.7156951352953911
11,affin,0.003994414117187262,0.8261107802391052,-0.822116366121918
12,aforistisk,0.0036125367041677237,0.7486203473526984,-0.7450078106485307
13,afrikansk,0.00454202713444829,0.7939656376838684,-0.7894236105494201
14,aggressiv,0.0046585495583713055,0.7954887272790074,-0.7908301777206361
15,agitatorisk,0.004069761373102665,0.8039633946027607,-0.799893633229658
16,agnostisk,0.00522861210629344,0.766543984413147,-0.7613153723068535
17,agrarisk,0.005963257979601622,0.7945572137832642,-0.7885939558036625
18,agronomisk,0.0058146691881120205,0.7365188002586365,-0.7307041310705245
19,akademisk,0.004380275961011648,0.7150058168917894,-0.7106255409307778
20,akseptabel,0.0027563150506466627,0.8107707500457764,-0.8080144349951297
21,aktivistisk,0.003950904589146376,0.792796790599823,-0.7888458860106766
22,albansk,0.003521556966006756,0.8692314028739929,-0.8657098459079862
23,algebraisk,0.006230724044144154,0.7513010166585445,-0.7450702926144004
24,alifatisk,0.003579716896638274,0.8364453315734863,-0.832865614676848
25,alkalisk,0.005178564693778753,0.8264439702033997,-0.8212654055096209
26,alkoholisk,0.0037862772587686777,0.7897754907608032,-0.7859892135020345
27,all slags,0.002908016089349985,0.774602472782135,-0.771694456692785
28,allegorisk,0.003256040159612894,0.7375915395095944,-0.7343354993499815
29,allsidig,0.005521328188478947,0.7360904216766357,-0.7305690934881568
30,allvitende,0.004426767583936453,0.7394179701805115,-0.734991202596575
31,altetende,0.005717865191400051,0.809608519077301,-0.803890653885901
32,anal,0.004982816521078348,0.8410615085158497,-0.8360786919947714
33,analytisk,0.004624477121978998,0.6959026665426791,-0.6912781894207001
34,anglikansk,0.004662059247493744,0.7433635904453695,-0.7387015311978757
35,annerledes,0.00303257186897099,0.8108033537864685,-0.8077707819174975
36,anstendig,0.002487516961991787,0.8074937595520169,-0.8050062425900251
37,antropocen,0.004265166819095612,0.7748133540153503,-0.7705481871962547
38,aparte,0.0032550934702157974,0.7637928128242493,-0.7605377193540335
39,apologetisk,0.003582583973184228,0.8240760173648596,-0.8204934333916754
40,arabisk,0.00555288465693593,0.8466187156736851,-0.8410658310167491
41,arameisk,0.009397159330546856,0.803572416305542,-0.7941752569749951
42,arbeidsløs,0.0029421267099678516,0.8128703832626343,-0.8099282565526664
43,ariansk,0.006126295775175095,0.8816584348678589,-0.8755321390926838
44,aristokratisk,0.0047288998030126095,0.7727492868434638,-0.7680203870404512
45,aritmetisk,0.008746651001274586,0.751056912355125,-0.7423102613538504
46,armensk,0.004473879933357239,0.8812731504440308,-0.8767992705106735
47,asimutal,0.005124074872583151,0.8224484324455261,-0.817324357572943
48,astrologisk,0.004283411893993616,0.7886075973510742,-0.7843241854570806
49,asymptomatisk,0.004471737891435623,0.7717346549034119,-0.7672629170119762
50,atypisk,0.0034317884128540754,0.7085196375846863,-0.7050878491718322
51,avansert,0.004095227457582951,0.7691532373428345,-0.7650580098852515
52,avslappa,0.003389820922166109,0.7072328329086304,-0.7038430119864643
53,avslappet,0.0035974737256765366,0.7464468479156494,-0.7428493741899729
54,bange,0.004925363231450319,0.8230838179588318,-0.8181584547273815
55,barmhjertig,0.005267722066491842,0.6824302673339844,-0.6771625452674925
56,barokk,0.004028944298624992,0.8136077802628279,-0.8095788359642029
57,bedriten,0.006706744898110628,0.7672971487045288,-0.7605904038064182
58,befestet,0.0038626519963145256,0.7807513475418091,-0.7768886955454946
59,behagelig,0.0035410248674452305,0.7514588236808777,-0.7479177988134325
60,behendig,0.0051420084200799465,0.8195721507072449,-0.8144301422871649
61,beleven,0.003742328379303217,0.7183588743209839,-0.7146165459416807
62,belærende,0.004012059886008501,0.6720730662345886,-0.6680610063485801
63,beryktet,0.003218863159418106,0.7151890397071838,-0.7119701765477657
64,berømt,0.003150795353576541,0.6705466508865356,-0.6673958555329591
65,betraktelig,0.0032472095917910337,0.8105442523956299,-0.8072970428038388
66,betydelig,0.0040012551471591,0.7462789812125266,-0.7422777260653675
67,beundringsverdig,0.0027713824529200792,0.7049342393875122,-0.7021628569345921
68,biomimetisk,0.004661511164158583,0.7024034261703491,-0.6977419150061905
69,blakk,0.005215188022702932,0.7888048887252808,-0.7835897007025778
70,blakk som en kirkerotte,0.007009358145296574,0.697938859462738,-0.6909295013174415
71,blaut,0.005766205955296755,0.7756333947181702,-0.7698671887628734
72,blek,0.010520938783884048,0.8107019066810608,-0.8001809678971767
73,blodig,0.0027182542253285646,0.8233591914176941,-0.8206409371923655
74,blåøyd,0.0039633638225495815,0.8016254305839539,-0.7976620667614043
75,bretonsk,0.006566687021404505,0.8252203706651926,-0.8186536836437881
76,brutal,0.003552044043317437,0.7795915007591248,-0.7760394567158073
77,bråkjekk,0.0031802307348698378,0.8446570038795471,-0.8414767731446773
78,buet,0.0053208558820188046,0.7736050486564636,-0.7682841927744448
