,Adjektiv,P(han),P(hun),Differanse
979,nordenfjelsk,0.7433831691741943,0.02223622240126133,0.721146946772933
978,nordafjelsk,0.7162975072860718,0.04170703515410423,0.6745904721319675
1644,vestlandsk,0.6588261723518372,0.038814716041088104,0.620011456310749
166,bergensk,0.6436430215835571,0.043130360543727875,0.6005126610398293
1013,omansk,0.6367908716201782,0.04425763711333275,0.5925332345068455
55,algerisk,0.6418212652206421,0.05825594812631607,0.583565317094326
1692,østre,0.6269611716270447,0.04732400178909302,0.5796371698379517
366,fattigslig,0.6295198202133179,0.05090901255607605,0.5786108076572418
1385,søndre,0.5978664755821228,0.029558498412370682,0.5683079771697521
365,fattigfin,0.6180324554443359,0.05794164910912514,0.5600908063352108
1645,vestre,0.6190929412841797,0.059577371925115585,0.5595155693590641
980,nordlandsk,0.6031428575515747,0.045749954879283905,0.5573929026722908
879,lærd,0.5668249130249023,0.014759945683181286,0.5520649673417211
513,gild,0.5697965621948242,0.02316856198012829,0.5466280002146959
7,abkhasisk,0.6006288528442383,0.05485740676522255,0.5457714460790157
116,aserbajdsjansk,0.6114997267723083,0.07767469435930252,0.5338250324130058
609,huslaus,0.5466601252555847,0.018771104514598846,0.5278890207409859
127,austre,0.5696883201599121,0.043536268174648285,0.5261520519852638
1389,sørlandsk,0.5781533122062683,0.052853815257549286,0.525299496948719
1407,tasmansk,0.5558452010154724,0.03370768576860428,0.5221375152468681
982,nordre,0.5957069993019104,0.07497081905603409,0.5207361802458763
17,adelgod,0.5308444499969482,0.010831580497324467,0.5200128694996238
972,nesegrus,0.6106752753257751,0.09463543444871902,0.5160398408770561
1691,østlandsk,0.5736933946609497,0.061918243765830994,0.5117751508951187
1338,stridlynt,0.5996128916740417,0.09110742807388306,0.5085054636001587
901,markinsk,0.540330171585083,0.04252758249640465,0.49780258908867836
817,kurdisk,0.5839676260948181,0.09030571579933167,0.49366191029548645
364,fattig,0.5340567827224731,0.04753449931740761,0.48652228340506554
1415,thailandsk,0.6022352576255798,0.11683394759893417,0.48540131002664566
1040,orknøysk,0.4840869903564453,0.011808863840997219,0.4722781265154481
690,jemenittisk,0.5075710415840149,0.036274585872888565,0.4712964557111263
374,fennoskandisk,0.5366731286048889,0.07332754880189896,0.46334557980298996
50,albansk,0.5493637323379517,0.08774207532405853,0.4616216570138931
354,falklandsk,0.4947603940963745,0.03558753430843353,0.459172859787941
1297,snøgg,0.4933081865310669,0.035285066813230515,0.4580231197178364
1649,vidløftig,0.48425954580307007,0.028241045773029327,0.45601850003004074
1394,tadsjikisk,0.5649722814559937,0.10954732447862625,0.4554249569773674
610,husløs,0.5180728435516357,0.06433224678039551,0.45374059677124023
1464,tsjadisk,0.5135441422462463,0.0630246102809906,0.45051953196525574
1077,pennsylvansk,0.4932806193828583,0.04342324659228325,0.449857372790575
239,dansk,0.5054003000259399,0.05872899666428566,0.4466713033616543
1470,turkmensk,0.5133870244026184,0.06716214120388031,0.4462248831987381
485,færøysk,0.4764699935913086,0.03878950700163841,0.4376804865896702
231,burkinsk,0.5623751282691956,0.12818850576877594,0.4341866225004196
892,malayisk,0.49049240350723267,0.06066487357020378,0.4298275299370289
921,militær,0.5007055401802063,0.0719829797744751,0.4287225604057312
900,maritim,0.5439600944519043,0.11872022598981857,0.4252398684620857
36,agronomisk,0.5284755229949951,0.10476301610469818,0.42371250689029694
438,forstandig,0.519636332988739,0.09611627459526062,0.4235200583934784
261,djerv,0.4597821831703186,0.03650393709540367,0.42327824607491493
,Adjektiv,P(han),P(hun),Differanse
596,hjemmeværende,0.07909125089645386,0.6625078320503235,-0.5834165811538696
1111,prostituert,0.08658134937286377,0.6614128351211548,-0.574831485748291
990,nybakt,0.0912962332367897,0.5771139860153198,-0.4858177527785301
9,abortiv,0.11765021830797195,0.5573530197143555,-0.4397028014063835
1123,pårørende,0.06802961975336075,0.4679579734802246,-0.39992835372686386
919,midlertidig,0.12618312239646912,0.4398905336856842,-0.3137074112892151
1144,redd,0.15219485759735107,0.4608817398548126,-0.30868688225746155
186,biennal,0.10323803871870041,0.41154035925865173,-0.3083023205399513
1522,ufrivillig,0.09876520186662674,0.40069472789764404,-0.3019295260310173
159,bekymret,0.11174104362726212,0.38380759954452515,-0.27206655591726303
48,akutt,0.14133714139461517,0.410260945558548,-0.2689238041639328
489,før,0.06798264384269714,0.3342367112636566,-0.2662540674209595
1109,profesjonell,0.13745786249637604,0.40360063314437866,-0.2661427706480026
935,morsk,0.12800496816635132,0.3912520408630371,-0.2632470726966858
1066,passe,0.08483446389436722,0.3392421007156372,-0.25440763682127
88,ansatt,0.1145668551325798,0.3680133819580078,-0.253446526825428
1272,skulkesyk,0.20086635649204254,0.4513058662414551,-0.25043950974941254
