,Adjektiv,P(han),P(hun),Differanse
0,a posteriori,0.07831548899412155,0.059637777507305145,0.018677711486816406
1,a priori,0.1479627937078476,0.09180746227502823,0.056155331432819366
2,aaben,0.1736278235912323,0.34089410305023193,-0.16726627945899963
3,aabenbar,0.284024715423584,0.09111159294843674,0.19291312247514725
4,aabenhjertet,0.3381853997707367,0.2770780324935913,0.061107367277145386
5,abdominal,0.2092115432024002,0.2162076085805893,-0.006996065378189087
6,abiotisk,0.1824258416891098,0.13796211779117584,0.04446372389793396
7,abkhasisk,0.6006288528442383,0.05485740676522255,0.5457714460790157
8,abnorm,0.18340086936950684,0.1947123110294342,-0.011311441659927368
9,abortiv,0.11765021830797195,0.5573530197143555,-0.4397028014063835
10,abrupt,0.23949214816093445,0.261121928691864,-0.021629780530929565
11,absolutt,0.2017224282026291,0.0653008371591568,0.1364215910434723
12,abstinent,0.19271165132522583,0.4139002859592438,-0.22118863463401794
13,abstrakt,0.321062833070755,0.18010354042053223,0.14095929265022278
14,absurd,0.20733703672885895,0.116517573595047,0.09081946313381195
15,additiv,0.25248411297798157,0.1839115172624588,0.06857259571552277
16,adekvat,0.1272144615650177,0.17243660986423492,-0.045222148299217224
17,adelgod,0.5308444499969482,0.010831580497324467,0.5200128694996238
18,adelig,0.4416797459125519,0.020923759788274765,0.4207559861242771
19,adjektivisk,0.18683956563472748,0.13307665288448334,0.05376291275024414
20,administrativ,0.203382208943367,0.28356993198394775,-0.08018772304058075
21,adresseløs,0.3587137460708618,0.27013248205184937,0.08858126401901245
22,adstadig,0.3055851459503174,0.2811983823776245,0.02438676357269287
23,advarende,0.17654487490653992,0.17339655756950378,0.003148317337036133
24,adverbial,0.1355854719877243,0.09594976156949997,0.039635710418224335
25,afatisk,0.32362082600593567,0.115010105073452,0.20861072093248367
26,affektert,0.19059239327907562,0.2404983937740326,-0.04990600049495697
27,affektiv,0.15054602921009064,0.17214897274971008,-0.021602943539619446
28,affin,0.2797352969646454,0.2165970653295517,0.06313823163509369
29,afghansk,0.5330449938774109,0.1183348074555397,0.4147101864218712
30,aforistisk,0.2556324601173401,0.08726926892995834,0.16836319118738174
31,afrikansk,0.28799304366111755,0.046692755073308945,0.2413002885878086
32,aggressiv,0.2889177203178406,0.17816178500652313,0.11075593531131744
33,agitatorisk,0.39266493916511536,0.09012751281261444,0.3025374263525009
34,agnostisk,0.3750340938568115,0.03189261257648468,0.34314148128032684
35,agrarisk,0.4101486802101135,0.05939588323235512,0.3507527969777584
36,agronomisk,0.5284755229949951,0.10476301610469818,0.42371250689029694
37,akademisk,0.3718695044517517,0.07952740043401718,0.2923421040177345
38,akrobatisk,0.3679109215736389,0.15616080164909363,0.2117501199245453
39,akseptabel,0.1967010498046875,0.12939730286598206,0.06730374693870544
