,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
979,nordenfjelsk,0.7433831691741943,0.02223622240126133,0.721146946772933,33.43118069965097,0.02991219511461766
978,nordafjelsk,0.7162975072860718,0.04170703515410423,0.6745904721319675,17.174500768021716,0.05822585549979788
1644,vestlandsk,0.6588261723518372,0.038814716041088104,0.620011456310749,16.97361824454476,0.058914957647371105
166,bergensk,0.6436430215835571,0.043130360543727875,0.6005126610398293,14.923200582360012,0.06700975400558853
1013,omansk,0.6367908716201782,0.04425763711333275,0.5925332345068455,14.388270887338967,0.06950105456243218
55,algerisk,0.6418212652206421,0.05825594812631607,0.583565317094326,11.01726580484081,0.09076662192906483
1692,østre,0.6269611716270447,0.04732400178909302,0.5796371698379517,13.248270389752697,0.07548155121996018
366,fattigslig,0.6295198202133179,0.05090901255607605,0.5786108076572418,12.365586928638708,0.0808695944455333
1385,søndre,0.5978664755821228,0.029558498412370682,0.5683079771697521,20.2265509986768,0.04943996631286367
365,fattigfin,0.6180324554443359,0.05794164910912514,0.5600908063352108,10.66646298382631,0.09375179021539871
1645,vestre,0.6190929412841797,0.059577371925115585,0.5595155693590641,10.39141071986751,0.0962333245175348
980,nordlandsk,0.6031428575515747,0.045749954879283905,0.5573929026722908,13.183463440412803,0.0758526015959193
879,lærd,0.5668249130249023,0.014759945683181286,0.5520649673417211,38.40291320792528,0.026039691170971584
513,gild,0.5697965621948242,0.02316856198012829,0.5466280002146959,24.593523011205427,0.040661112258881124
7,abkhasisk,0.6006288528442383,0.05485740676522255,0.5457714460790157,10.94891079001958,0.09133328594763458
116,aserbajdsjansk,0.6114997267723083,0.07767469435930252,0.5338250324130058,7.872573324121147,0.12702326911786938
609,huslaus,0.5466601252555847,0.018771104514598846,0.5278890207409859,29.122427230130803,0.03433779719313281
127,austre,0.5696883201599121,0.043536268174648285,0.5261520519852638,13.085373277162253,0.07642120548026614
1389,sørlandsk,0.5781533122062683,0.052853815257549286,0.525299496948719,10.938724279203075,0.09141833859924783
1407,tasmansk,0.5558452010154724,0.03370768576860428,0.5221375152468681,16.490162060701092,0.06064221784594664
982,nordre,0.5957069993019104,0.07497081905603409,0.5207361802458763,7.9458515566792975,0.1258518351201009
17,adelgod,0.5308444499969482,0.010831580497324467,0.5200128694996238,49.00895581471913,0.020404433911641606
972,nesegrus,0.6106752753257751,0.09463543444871902,0.5160398408770561,6.452924096382602,0.1549685049852954
1691,østlandsk,0.5736933946609497,0.061918243765830994,0.5117751508951187,9.26533699551629,0.10792915578612232
1338,stridlynt,0.5996128916740417,0.09110742807388306,0.5085054636001587,6.581383146803233,0.151943744604161
901,markinsk,0.540330171585083,0.04252758249640465,0.49780258908867836,12.705405289161767,0.07870665887793765
817,kurdisk,0.5839676260948181,0.09030571579933167,0.49366191029548645,6.466563283684641,0.15464164752288653
364,fattig,0.5340567827224731,0.04753449931740761,0.48652228340506554,11.235140590339535,0.08900645185159888
1415,thailandsk,0.6022352576255798,0.11683394759893417,0.48540131002664566,5.154625603278629,0.19400051079635042
1040,orknøysk,0.4840869903564453,0.011808863840997219,0.4722781265154481,40.993527986648864,0.02439409460746313
690,jemenittisk,0.5075710415840149,0.036274585872888565,0.4712964557111263,13.99246964148999,0.07146701230173368
374,fennoskandisk,0.5366731286048889,0.07332754880189896,0.46334557980298996,7.3188472460024565,0.1366335389150523
50,albansk,0.5493637323379517,0.08774207532405853,0.4616216570138931,6.261120794202577,0.15971581332945056
354,falklandsk,0.4947603940963745,0.03558753430843353,0.459172859787941,13.902632023009422,0.0719288260197752
1297,snøgg,0.4933081865310669,0.035285066813230515,0.4580231197178364,13.9806504871374,0.0715274300662926
1649,vidløftig,0.48425954580307007,0.028241045773029327,0.45601850003004074,17.14736591891884,0.05831799500450918
1394,tadsjikisk,0.5649722814559937,0.10954732447862625,0.4554249569773674,5.15733528084682,0.19389858241595703
610,husløs,0.5180728435516357,0.06433224678039551,0.45374059677124023,8.053081766600329,0.12417606439157737
1464,tsjadisk,0.5135441422462463,0.0630246102809906,0.45051953196525574,8.148311270099846,0.12272481583631824
1077,pennsylvansk,0.4932806193828583,0.04342324659228325,0.449857372790575,11.359828158738349,0.08802950062503961
239,dansk,0.5054003000259399,0.05872899666428566,0.4466713033616543,8.605634843635674,0.11620293193587611
1470,turkmensk,0.5133870244026184,0.06716214120388031,0.4462248831987381,7.643994297980442,0.13082165697902232
485,færøysk,0.4764699935913086,0.03878950700163841,0.4376804865896702,12.283476394046028,0.08141017802457892
231,burkinsk,0.5623751282691956,0.12818850576877594,0.4341866225004196,4.387094809292788,0.2279412785613363
892,malayisk,0.49049240350723267,0.06066487357020378,0.4298275299370289,8.085278591071578,0.12368157618022974
921,militær,0.5007055401802063,0.0719829797744751,0.4287225604057312,6.95588793002085,0.14376309826443717
900,maritim,0.5439600944519043,0.11872022598981857,0.4252398684620857,4.581865389125474,0.21825171956674763
36,agronomisk,0.5284755229949951,0.10476301610469818,0.42371250689029694,5.044485569858419,0.19823626931855146
438,forstandig,0.519636332988739,0.09611627459526062,0.4235200583934784,5.40633035536275,0.1849683490036936
261,djerv,0.4597821831703186,0.03650393709540367,0.42327824607491493,12.595413529468614,0.07939397921794068
596,hjemmeværende,0.07909125089645386,0.6625078320503235,-0.5834165811538696,0.11938160889612873,8.376499606987855
1111,prostituert,0.08658134937286377,0.6614128351211548,-0.574831485748291,0.130903642589585,7.639206825857741
990,nybakt,0.0912962332367897,0.5771139860153198,-0.4858177527785301,0.15819445629301765,6.321334030490536
9,abortiv,0.11765021830797195,0.5573530197143555,-0.4397028014063835,0.21108743318241627,4.7373734424816565
1123,pårørende,0.06802961975336075,0.4679579734802246,-0.39992835372686386,0.14537549012664833,6.878738631448941
919,midlertidig,0.12618312239646912,0.4398905336856842,-0.3137074112892151,0.28685118849734326,3.486128139257341
1144,redd,0.15219485759735107,0.4608817398548126,-0.30868688225746155,0.3302254015212137,3.028234640319636
186,biennal,0.10323803871870041,0.41154035925865173,-0.3083023205399513,0.25085762889616287,3.9863248504749618
1522,ufrivillig,0.09876520186662674,0.40069472789764404,-0.3019295260310173,0.24648490481725513,4.057043577339569
159,bekymret,0.11174104362726212,0.38380759954452515,-0.27206655591726303,0.29113817381382817,3.4347951932935534
48,akutt,0.14133714139461517,0.410260945558548,-0.2689238041639328,0.34450547371062173,2.902711498976012
489,før,0.06798264384269714,0.3342367112636566,-0.2662540674209595,0.20339669926045395,4.916500629734792
