,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
596,hjemmeværende,0.07909125089645386,0.6625078320503235,-0.5834165811538696,0.11938160889612873,8.376499606987855
1111,prostituert,0.08658134937286377,0.6614128351211548,-0.574831485748291,0.130903642589585,7.639206825857741
1123,pårørende,0.06802961975336075,0.4679579734802246,-0.39992835372686386,0.14537549012664833,6.878738631448941
990,nybakt,0.0912962332367897,0.5771139860153198,-0.4858177527785301,0.15819445629301765,6.321334030490536
489,før,0.06798264384269714,0.3342367112636566,-0.2662540674209595,0.20339669926045395,4.916500629734792
9,abortiv,0.11765021830797195,0.5573530197143555,-0.4397028014063835,0.21108743318241627,4.7373734424816565
1522,ufrivillig,0.09876520186662674,0.40069472789764404,-0.3019295260310173,0.24648490481725513,4.057043577339569
1066,passe,0.08483446389436722,0.3392421007156372,-0.25440763682127,0.25007056528481403,3.998871274038451
186,biennal,0.10323803871870041,0.41154035925865173,-0.3083023205399513,0.25085762889616287,3.9863248504749618
919,midlertidig,0.12618312239646912,0.4398905336856842,-0.3137074112892151,0.28685118849734326,3.486128139257341
159,bekymret,0.11174104362726212,0.38380759954452515,-0.27206655591726303,0.29113817381382817,3.4347951932935534
654,inkludert,0.07757632434368134,0.2656780183315277,-0.18810169398784637,0.2919937630928778,3.4247306839972422
172,besvart,0.07781508564949036,0.2628835439682007,-0.18506845831871033,0.29600592138587095,3.3783107963452124
88,ansatt,0.1145668551325798,0.3680133819580078,-0.253446526825428,0.3113116553616316,3.21221509949045
297,ekstern,0.08865947276353836,0.28009840846061707,-0.1914389356970787,0.3165297270013022,3.159260930951632
935,morsk,0.12800496816635132,0.3912520408630371,-0.2632470726966858,0.32716754111746893,3.056537933391601
1144,redd,0.15219485759735107,0.4608817398548126,-0.30868688225746155,0.3302254015212137,3.028234640319636
1570,urettmessig,0.10646440088748932,0.3190529942512512,-0.2125885933637619,0.3336887689687363,2.996804486679296
1109,profesjonell,0.13745786249637604,0.40360063314437866,-0.2661427706480026,0.3405789069889881,2.9361771368663563
1516,uforholdsmessig,0.07571164518594742,0.22088709473609924,-0.14517544955015182,0.3427617411347752,2.9174784697070266
48,akutt,0.14133714139461517,0.410260945558548,-0.2689238041639328,0.34450547371062173,2.902711498976012
531,god nok,0.08565740287303925,0.24786381423473358,-0.16220641136169434,0.3455825253779054,2.8936648313061215
1082,personal,0.11209187656641006,0.3131023347377777,-0.20101045817136765,0.35800396269892615,2.7932651707572833
444,fortrolig,0.11741393059492111,0.3255196511745453,-0.20810572057962418,0.3606969046915179,2.7724108163757024
821,kvinnelig,0.10795799642801285,0.29771140217781067,-0.18975340574979782,0.3626263409405261,2.7576595715753833
210,bra nok,0.12881308794021606,0.341024786233902,-0.2122116982936859,0.37772353547306614,2.6474389496211463
1689,ønsket,0.10894152522087097,0.2821139991283417,-0.1731724739074707,0.3861613587325398,2.5895910540666307
237,daglig,0.13106651604175568,0.33821508288383484,-0.20714856684207916,0.38752416043719873,2.5804842693467567
76,ambivalent,0.12851081788539886,0.3297119736671448,-0.2012011557817459,0.3897669121811597,2.5656359448367185
471,fruktsommelig,0.1577450931072235,0.4047095477581024,-0.2469644546508789,0.389773589432362,2.5655919926650945
1204,sams,0.08529329299926758,0.21797756850719452,-0.13268427550792694,0.39129390048431706,2.5556237875475896
1019,omsorgsfull,0.13836872577667236,0.3499325215816498,-0.21156379580497742,0.3954154508168135,2.5289856477137915
1145,refleksiv,0.12488043308258057,0.314089834690094,-0.18920940160751343,0.3975946346872306,2.5151244829715926
241,deilig,0.16129058599472046,0.4050566554069519,-0.24376606941223145,0.39819265735227877,2.511347162073121
1603,uønsket,0.1680174469947815,0.41500329971313477,-0.24698585271835327,0.404858098986011,2.470001223896852
1414,testet,0.10433569550514221,0.24928948283195496,-0.14495378732681274,0.4185322795004332,2.389301970193592
746,klinisk,0.15324881672859192,0.3633626103401184,-0.2101137936115265,0.4217517498158283,2.3710630730914164
1599,uuttalt,0.11294826120138168,0.266570121049881,-0.1536218598484993,0.4237093818187022,2.360108231985957
298,ekstra,0.11015070974826813,0.25986000895500183,-0.1497092992067337,0.42388480702062226,2.359131498552033
201,blivende,0.16731038689613342,0.3867872357368469,-0.2194768488407135,0.43256439571331684,2.311794521023761
1440,toårig,0.1347174048423767,0.30958640575408936,-0.17486900091171265,0.43515284372462215,2.29804312305685
754,koaksial,0.11070410907268524,0.25237706303596497,-0.14167295396327972,0.4386456825393414,2.279744312564416
1500,ubesvart,0.13483670353889465,0.3073536157608032,-0.17251691222190857,0.4387021873978239,2.279450681409938
1272,skulkesyk,0.20086635649204254,0.4513058662414551,-0.25043950974941254,0.4450780978427969,2.2467966966849118
1666,vordende,0.16966651380062103,0.376415878534317,-0.20674936473369598,0.4507421803279558,2.218563169021389
1605,valgfri,0.10689091682434082,0.23598149418830872,-0.1290905773639679,0.45296313252023024,2.207685191587503
1587,utgående,0.155766099691391,0.34266501665115356,-0.18689891695976257,0.4545725187055409,2.199869017264045
1029,oppmerksom,0.1032756045460701,0.22698920965194702,-0.12371360510587692,0.45498023762639345,2.197897660823565
1169,rosa,0.17361252009868622,0.3809764087200165,-0.20736388862133026,0.45570412268302907,2.194406304933877
180,beveget,0.184673473238945,0.40297791361808777,-0.21830444037914276,0.4582719474148766,2.1821104382256533
