,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
758,kristen,0.9306473135948181,0.02556663751602173,0.9050806760787964,36.40084907573839,0.027471886656251436
143,barokk,0.9247322678565979,0.020977942273020744,0.9037543255835772,44.0811713475766,0.02268542258360328
669,kanon,0.904178261756897,0.014291142113506794,0.8898871196433902,63.26843960933977,0.01580566876905209
741,kontrær,0.9112903475761414,0.02315344288945198,0.8881369046866894,39.35874037944042,0.025407317164102227
1089,rasjonal,0.9157195091247559,0.030467620119452477,0.8852518890053034,30.055498445055836,0.033271782260676536
665,kafkask,0.9005323052406311,0.03573967516422272,0.8647926300764084,25.19699188934182,0.03968727713179898
238,demonstrativ,0.905305802822113,0.040961187332868576,0.8643446154892445,22.101551780352484,0.04524569179296114
863,meddelsom,0.8930109143257141,0.02896544151008129,0.8640454728156328,30.830219315486893,0.0324357082824147
513,godtroende,0.8914929628372192,0.02792087383568287,0.8635720890015364,31.929264394937793,0.03131923077308804
1055,predikativ,0.8902140259742737,0.02715759351849556,0.8630564324557781,32.7795622011942,0.03050681378421731
652,ivoriansk,0.8964495062828064,0.03436307609081268,0.8620864301919937,26.087580282793173,0.03833241677303354
878,militær,0.8839545249938965,0.023132622241973877,0.8608219027519226,38.2124653118647,0.026169470926271466
299,elektromekanisk,0.9045825004577637,0.046280067414045334,0.8583024330437183,19.545833681807384,0.051161798277797016
1352,tentativ,0.8965213894844055,0.039463646709918976,0.8570577427744865,22.717651920877085,0.044018633769144916
1142,salongfähig,0.9002885818481445,0.04593383148312569,0.8543547503650188,19.59968399716178,0.05102123075784331
1533,uvitende,0.8906474113464355,0.039435435086488724,0.8512119762599468,22.58495207148322,0.04427726907876175
861,matematisk,0.8777709007263184,0.02710139751434326,0.8506695032119751,32.38839990674883,0.030875251722195393
1105,retorisk,0.8859924077987671,0.038841091096401215,0.8471513167023659,22.810698226777102,0.04383907892946988
597,høyre,0.8759336471557617,0.031007489189505577,0.8449261579662561,28.249099493428822,0.035399358490440215
939,normativ,0.8839623928070068,0.041214194148778915,0.8427481986582279,21.448008654882234,0.04662437506860894
828,lutheransk,0.8823994398117065,0.04517895355820656,0.8372204862535,19.531205800835167,0.05120011586572086
116,aserbajdsjansk,0.8703563809394836,0.038327906280756,0.8320284746587276,22.70816398276573,0.04403702565997612
770,kumulativ,0.8782250285148621,0.046759553253650665,0.8314654752612114,18.781724105678794,0.05324324829676539
676,keivhendt,0.8700019717216492,0.03942304849624634,0.8305789232254028,22.068358610179178,0.04531374614960006
1565,venstre,0.8696511387825012,0.04320354387164116,0.8264475949108601,20.129162120733824,0.0496791666738061
614,imperativ,0.8524389863014221,0.026942843571305275,0.8254961427301168,31.638790614116488,0.03160677069476301
1095,real,0.8794641494750977,0.05408306419849396,0.8253810852766037,16.261359494116608,0.061495473386576446
258,doktrinær,0.8820655941963196,0.056878380477428436,0.8251872137188911,15.507923868302784,0.06448316412256426
618,indolent,0.8663303256034851,0.04133468121290207,0.824995644390583,20.958921181496173,0.04771237943691785
365,fille,0.8528867959976196,0.030302846804261208,0.8225839491933584,28.14543470145802,0.03552974081257295
1164,sekulær,0.8621604442596436,0.03969385102391243,0.8224665932357311,21.720251928699476,0.04603998163937854
367,filosofisk,0.8771371245384216,0.055677205324172974,0.8214599192142487,15.753971835177605,0.06347605609952052
15,additiv,0.8472170829772949,0.027311593294143677,0.8199054896831512,31.020419565158086,0.032236830256261034
926,nesegrus,0.8415763974189758,0.02173655293881893,0.8198398444801569,38.71710476761102,0.025828377560828224
82,anglikansk,0.8735325932502747,0.055174533277750015,0.8183580599725246,15.832170049411912,0.0631625353239018
731,konfus,0.8762339949607849,0.05869371443986893,0.817540280520916,14.928923877504415,0.06698406450493366
1088,rar,0.8754807710647583,0.060080915689468384,0.8153998553752899,14.57169487212429,0.06862619679972876
108,aristokratisk,0.862973153591156,0.04843687638640404,0.814536277204752,17.8164493248245,0.05612790639528005
777,kursiv,0.8752057552337646,0.06071696802973747,0.8144887872040272,14.414516792161185,0.06937450727060195
247,disig,0.869503915309906,0.05550024285912514,0.8140036724507809,15.666668657954268,0.06382977912105653
1243,sober,0.8687540888786316,0.055094413459300995,0.8136596754193306,15.768460617525083,0.06341773139786384
914,narrativ,0.8610470294952393,0.04798336327075958,0.8130636662244797,17.944699387505207,0.05572676244976801
95,apologetisk,0.8660964965820312,0.05393943563103676,0.8121570609509945,16.056832750465027,0.06227878284221642
97,aprikos,0.8475891947746277,0.03571176528930664,0.811877429485321,23.734172419318227,0.04213334184705166
474,gammal,0.8429819941520691,0.033081911504268646,0.8099000826478004,25.48165918536167,0.03924391236558353
930,niten,0.8630897402763367,0.053540267050266266,0.8095494732260704,16.120385418810578,0.06203325627891742
850,mange,0.8605284690856934,0.05331234633922577,0.8072161227464676,16.14126048045535,0.06195303032318017
931,nonfigurativ,0.8679587841033936,0.06090825796127319,0.8070505261421204,14.250264465867023,0.07017413623412058
723,kommunistisk,0.8533936738967896,0.0486668199300766,0.804726853966713,17.535431226509694,0.057027397107190674
211,brekkekkel,0.8580633401870728,0.054065603762865067,0.8039977364242077,15.87078068989277,0.06300887269123726
