,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
971,neste,0.18831369280815125,0.10782979428768158,0.08048389852046967,1.7463975893874455,0.5726072951983134
369,felles,0.09337874501943588,0.04182349517941475,0.05155524984002113,2.2326863075134926,0.4478909538858077
379,fille,0.283313512802124,0.09996960312128067,0.18334390968084335,2.833996574522908,0.35285857752610233
596,hjemmeværende,0.1492685079574585,0.050737448036670685,0.09853105992078781,2.941979026015934,0.3399072499011704
177,betrodd,0.3079771138727665,0.09566667675971985,0.21231043711304665,3.2192726276704877,0.31062917486538394
1439,topp,0.08589170128107071,0.023864755406975746,0.06202694587409496,3.599102518183123,0.2778470451863688
1154,relevant,0.2217222861945629,0.05976124852895737,0.16196103766560555,3.7101347721530145,0.269531987761106
505,genierklært,0.38910597562789917,0.10439269989728928,0.2847132757306099,3.727329363171332,0.26828860628221163
1114,prostituert,0.3804272133857012,0.10009253770112991,0.28033467568457127,3.8007550025520698,0.26310561962782025
1226,sentral,0.30290837213397026,0.07845401763916016,0.2244543544948101,3.860966987403513,0.25900247354160794
1388,søkegod,0.4223388321697712,0.10896206647157669,0.3133767656981945,3.8760170933426674,0.2579967982384728
452,framifrå,0.2297002673149109,0.058926794677972794,0.1707734726369381,3.8980614603287473,0.2565377714479812
414,forelsket,0.3130323737859726,0.07917275279760361,0.233859620988369,3.953789185355286,0.2529219321313259
1557,underdanig,0.3282080888748169,0.08077052980661392,0.24743755906820297,4.063463365420954,0.24609548802869669
302,ekte,0.2819979153573513,0.06928882747888565,0.21270908787846565,4.069890134066482,0.24570687833306135
1272,skråsikker,0.3613944351673126,0.08849596977233887,0.27289846539497375,4.083738910337061,0.24487363711444096
473,full,0.19076675176620483,0.04388308897614479,0.14688366279006004,4.347158694090728,0.23003531050277531
479,fyldig,0.3661065697669983,0.08380258828401566,0.28230398148298264,4.3686785487606326,0.22890217003576377
8,abortiv,0.37287233024835587,0.0836189016699791,0.28925342857837677,4.459187131158226,0.22425611901608192
961,nebbete,0.35858698934316635,0.07967255264520645,0.2789144366979599,4.500759388744663,0.22218472787075977
88,ansvarlig,0.32089353166520596,0.07110634446144104,0.24978718720376492,4.512867791132441,0.22158858763045303
475,fungerende,0.36191872134804726,0.08012180030345917,0.2817969210445881,4.517106704758128,0.22138064592245352
20,adresseløs,0.4644529651850462,0.102388396859169,0.3620645683258772,4.536187492259323,0.2204494416746283
724,kjempemorsom,0.3866535387933254,0.08458802103996277,0.30206551775336266,4.571020033801888,0.21876955091099495
909,melkefri,0.2962804138660431,0.0647350400686264,0.2315453737974167,4.576816721700529,0.2184924721277559
131,avansert,0.34845175221562386,0.07538916170597076,0.2730625905096531,4.622040414438336,0.21635466381388588
1024,oppkalt,0.335407430306077,0.0719415619969368,0.2634658683091402,4.662220571751811,0.21449006639860757
246,deskriptiv,0.4418725688010454,0.09470415115356445,0.34716841764748096,4.665820488528969,0.21432457645092087
419,forhenværende,0.15576142072677612,0.03314593806862831,0.12261548265814781,4.699261200701992,0.2127994076708519
346,etnologisk,0.3858823701739311,0.08184679597616196,0.30403557419776917,4.714691217556276,0.21210296790514335
323,engasjert,0.24427003599703312,0.0517536886036396,0.19251634739339352,4.719857513303017,0.21187080270569167
1156,restriktiv,0.4612917862832546,0.09685479197651148,0.36443699430674314,4.762715162251587,0.20996426742582
1597,uttrykksfull,0.480588773265481,0.10053837299346924,0.38005040027201176,4.780152681570638,0.20919833875921828
413,forelska,0.39728108420968056,0.08295410126447678,0.3143269829452038,4.789167481220211,0.2088045581870556
1277,skyfri,0.3349473997950554,0.06937797367572784,0.26556942611932755,4.8278636871206,0.20713095166040463
629,identifiserbar,0.43457445316016674,0.08878058940172195,0.3457938637584448,4.894926425795253,0.20429316255505012
1601,utørst,0.42408163100481033,0.08637900650501251,0.3377026244997978,4.909545133286537,0.20368485732416153
347,etterpåklok,0.35300499200820923,0.07111063599586487,0.28189435601234436,4.964165867237311,0.2014437121450429
460,fremgangsrik,0.35249610245227814,0.07050123810768127,0.28199486434459686,4.999856909092677,0.20000572380009768
1123,påfølgende,0.37967756390571594,0.07557827234268188,0.30409929156303406,5.0236338055494,0.19905909521019258
882,løs,0.355217345058918,0.0699925497174263,0.2852247953414917,5.075073654167484,0.19704147528555233
490,førstvoterende,0.45000228472054005,0.08824530988931656,0.3617569748312235,5.099447044664067,0.1960996930140445
303,ekvivalent,0.41571569442749023,0.08125028759241104,0.3344654068350792,5.116482744195468,0.1954467648961539
1259,skilt,0.3369871936738491,0.06584782153367996,0.27113937214016914,5.117666550312318,0.19540155462824607
900,maritim,0.3644653018563986,0.07110029458999634,0.29336500726640224,5.12607302062681,0.19508110711183765
1256,skeiv,0.47702982276678085,0.0921531692147255,0.38487665355205536,5.176488522660103,0.1931811488854839
1358,subjektiv,0.48452724888920784,0.09358092397451401,0.39094632491469383,5.177628391670559,0.193138619528728
820,kursiv,0.40577079355716705,0.07788155972957611,0.32788923382759094,5.210101017058503,0.19193485821596906
141,bakenforliggende,0.412691256031394,0.07918164134025574,0.33350961469113827,5.211956320253529,0.19186653505019327
1147,redd,0.36783093214035034,0.07022886723279953,0.2976020649075508,5.237603091632374,0.1909270295027903
