,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
396,flerdimensjonal,0.7329547051340342,0.00642242981120944,0.7265322753228247,114.12420636419657,0.008762382949755376
108,aritmetisk,0.6890727058053017,0.007590864319354296,0.6814818414859474,90.77658048087947,0.011016057166976373
394,flercella,0.7533432077616453,0.008641441352665424,0.7447017664089799,87.17795759029008,0.011470789493597639
1372,svart,0.6518165618181229,0.00870207604020834,0.6431144857779145,74.90356999943171,0.013350498514391063
1153,relativ,0.6172093935310841,0.008362668566405773,0.6088467249646783,73.80531568720977,0.013549159578668354
837,latvisk,0.6870662942528725,0.00953481812030077,0.6775314761325717,72.0586680924753,0.013877580955516226
1435,todimensjonal,0.6999887861311436,0.009964190423488617,0.690024595707655,70.2504424725824,0.014234785786442323
821,kvadratisk,0.7240349389612675,0.010364667512476444,0.713670271448791,69.85606996941408,0.014315148281857855
333,entomologisk,0.6349049285054207,0.00910548772662878,0.6257994407787919,69.72772327710206,0.01434149794373669
146,barokk,0.6194636411964893,0.008959749713540077,0.6105038914829493,69.13849839581442,0.014463721706465918
835,lat,0.7039032448083162,0.010264771990478039,0.6936384728178382,68.5746595697675,0.014582646217625115
1383,syvstemmig,0.5741163529455662,0.008919203653931618,0.5651971492916346,64.36856643501952,0.015535533186209862
306,elektrisk,0.6450670249760151,0.01006205566227436,0.6350049693137407,64.10887065498586,0.015598465388381135
296,eksponentiell,0.6302777640521526,0.00984314363449812,0.6204346204176545,64.03216161990804,0.015617151985840395
775,konsentrisk,0.6792242415249348,0.01062767580151558,0.6685965657234192,63.91089210945565,0.01564678518784202
1131,radial,0.7917987704277039,0.012616104446351528,0.7791826659813523,62.76095555444497,0.015933473146891503
307,elektrofysiologisk,0.7074927650392056,0.011348411440849304,0.6961443535983562,62.34288990373947,0.016040321543387706
915,metrisk,0.6857382394373417,0.01116226240992546,0.6745759770274162,61.43362467698167,0.016277730725771194
1684,åttestemmig,0.5836862623691559,0.009517433121800423,0.5741688292473555,61.32811808597604,0.01630573432235598
1381,symmetrisk,0.6703995857387781,0.01127541158348322,0.6591241741552949,59.4567728880791,0.016818941752563515
656,inkontinent,0.6974528040736914,0.012121428735554218,0.6853313753381371,57.53882807790993,0.01737956843065971
370,femstemmig,0.5999633148312569,0.010459473356604576,0.5895038414746523,57.36075750433585,0.017433521513805162
1409,tallrik,0.6677371114492416,0.012226706370711327,0.6555104050785303,54.612999707655035,0.018310658732408565
1456,trestemmig,0.6226599644869566,0.011414989829063416,0.6112449746578932,54.54757067777825,0.018332622105339383
120,astrologisk,0.6607262492179871,0.012137958779931068,0.648588290438056,54.43470860277047,0.018370632004248568
1452,tredimensjonal,0.7213693801313639,0.013498443178832531,0.7078709369525313,53.440931711486044,0.018712248607467116
494,gammal,0.7212425507605076,0.013751919381320477,0.7074906313791871,52.446682587463876,0.01906698289891506
1528,ufullendt,0.6828388720750809,0.014110889285802841,0.668727982789278,48.39091698934201,0.020665035139140836
1018,omstendelig,0.5786946266889572,0.012244693003594875,0.5664499336853623,47.26085223362156,0.02115916139338249
670,interstellar,0.5394217632710934,0.011636118404567242,0.5277856448665261,46.35753474795919,0.0215714663309188
1097,polynomiell,0.7238052748143673,0.015628768131136894,0.7081765066832304,46.31236887905093,0.02159250377823672
5,abiotisk,0.6769379079341888,0.014755228534340858,0.662182679399848,45.877832821003395,0.02179701913779564
121,astronomisk,0.572943389415741,0.012625922448933125,0.5603174669668078,45.37833902695593,0.02203694585220437
958,naturlig,0.6458601485937834,0.014272788539528847,0.6315873600542545,45.25115374651964,0.022098884055015106
1218,seksstemmig,0.6231871321797371,0.013783392496407032,0.6094037396833301,45.212898953736214,0.022117581998518675
496,gammeldags,0.6681631859391928,0.014811363071203232,0.6533518228679895,45.111525706790545,0.02216728395531681
98,arameisk,0.6696368530392647,0.015142901800572872,0.6544939512386918,44.2211712033906,0.022613602778646588
263,dogmatisk,0.6429088171571493,0.014573442749679089,0.6283353744074702,44.115095396474274,0.022667977729906964
308,elektromekanisk,0.6990489214658737,0.016063349321484566,0.6829855721443892,43.51825434879281,0.022978862892457447
1672,vàr,0.6526670809835196,0.015147303231060505,0.637519777752459,43.088005239453075,0.023208315039016023
1329,stillferdig,0.6186518147587776,0.014362640678882599,0.604289174079895,43.07368182428889,0.02321603256669153
744,klassisk,0.5864464044570923,0.01364217884838581,0.5728042256087065,42.98773758756891,0.023262447761130317
986,numerologisk,0.6536443345248699,0.015311051160097122,0.6383332833647728,42.69101629209916,0.023424131980317144
1472,tunisisk,0.6017276830971241,0.01415606215596199,0.5875716209411621,42.50671383522426,0.023525695349597333
17,adelig,0.5922629497945309,0.013940466567873955,0.5783224832266569,42.48515979798058,0.023537630663390662
400,flerstemmig,0.6215783730149269,0.014689733274281025,0.6068886397406459,42.31379572447339,0.023632954285441744
878,låg,0.5896544642746449,0.01395076047629118,0.5757037037983537,42.26683307169825,0.0236592128467178
507,geometrisk,0.7187047973275185,0.017106952145695686,0.7015978451818228,42.012439808475946,0.02380247385200065
1507,ublu,0.6811650097370148,0.01641022600233555,0.6647547837346792,41.508569695509955,0.02409141069749198
39,aksial,0.723037913441658,0.017423011362552643,0.7056149020791054,41.49902094397336,0.024096954030555836
