,Adjektiv,P(han),P(hun),Differanse
1131,radial,0.7917987704277039,0.012616104446351528,0.7791826659813523
394,flercella,0.7533432077616453,0.008641441352665424,0.7447017664089799
396,flerdimensjonal,0.7329547051340342,0.00642242981120944,0.7265322753228247
821,kvadratisk,0.7240349389612675,0.010364667512476444,0.713670271448791
1097,polynomiell,0.7238052748143673,0.015628768131136894,0.7081765066832304
1452,tredimensjonal,0.7213693801313639,0.013498443178832531,0.7078709369525313
494,gammal,0.7212425507605076,0.013751919381320477,0.7074906313791871
39,aksial,0.723037913441658,0.017423011362552643,0.7056149020791054
507,geometrisk,0.7187047973275185,0.017106952145695686,0.7015978451818228
307,elektrofysiologisk,0.7074927650392056,0.011348411440849304,0.6961443535983562
835,lat,0.7039032448083162,0.010264771990478039,0.6936384728178382
1435,todimensjonal,0.6999887861311436,0.009964190423488617,0.690024595707655
123,asymmetrisk,0.711016945540905,0.02276226505637169,0.6882546804845333
656,inkontinent,0.6974528040736914,0.012121428735554218,0.6853313753381371
538,gram,0.7052971627563238,0.021024979650974274,0.6842721831053495
1236,sinober,0.7163345078006387,0.03248346596956253,0.6838510418310761
308,elektromekanisk,0.6990489214658737,0.016063349321484566,0.6829855721443892
108,aritmetisk,0.6890727058053017,0.007590864319354296,0.6814818414859474
837,latvisk,0.6870662942528725,0.00953481812030077,0.6775314761325717
771,konfus,0.6992765590548515,0.02469448186457157,0.67458207719028
915,metrisk,0.6857382394373417,0.01116226240992546,0.6745759770274162
780,kontrafaktisk,0.6974891051650047,0.024625182151794434,0.6728639230132103
1528,ufullendt,0.6828388720750809,0.014110889285802841,0.668727982789278
775,konsentrisk,0.6792242415249348,0.01062767580151558,0.6685965657234192
710,kinesisk,0.6993835447356105,0.030811114236712456,0.668572430498898
1507,ublu,0.6811650097370148,0.01641022600233555,0.6647547837346792
5,abiotisk,0.6769379079341888,0.014755228534340858,0.662182679399848
539,grammatisk,0.6806132718920708,0.01984754018485546,0.6607657317072153
1381,symmetrisk,0.6703995857387781,0.01127541158348322,0.6591241741552949
1011,omansk,0.6756215142086148,0.01759735494852066,0.6580241592600942
1180,rwandisk,0.6742399167269468,0.018586326390504837,0.655653590336442
