,Unnamed: 0,Unnamed: 0.1,Adjektiv,P(han),P(hun),Differanse,Complete sentence female,Female Logit,Sentiment
0,779,779,kvinnelig,0.1312239915132522,0.6260155439376831,-0.4947915524244308,Hun er kvinnelig,[0.07939256 0.22952703],Negative
1,468,468,følsom,0.2861880958080292,0.6198416352272034,-0.3336535394191742,Hun er følsom,[0.11444148 0.27507576],Negative
2,1460,1460,ufødt,0.1149259582161903,0.4207558929920196,-0.3058299347758293,Hun er ufødt,[0.15475494 0.17287517],Negative
3,1535,1535,vakker,0.2869709134101867,0.551322340965271,-0.2643514275550842,Hun er vakker,[0.23903088 0.18809055],Positive
4,44,44,aktsom,0.3252458274364471,0.562736988067627,-0.2374911606311798,Hun er aktsom,[-0.06800978  0.26262966],Negative
5,1222,1222,skånsom,0.300817608833313,0.5315535068511963,-0.2307358980178833,Hun er skånsom,[0.04034029 0.2779811 ],Negative
6,416,416,forplantningsmessig,0.0877477303147316,0.306264728307724,-0.2185169979929924,Hun er forplantningsmessig,[-0.04571018  0.51347303],Negative
7,1332,1332,søt,0.2146198600530624,0.4295179843902588,-0.2148981243371963,Hun er søt,[0.2748065  0.17362341],Positive
8,1458,1458,ufruktbar,0.1924948990345001,0.4019685685634613,-0.2094736695289611,Hun er ufruktbar,[0.06525113 0.23937082],Negative
9,1488,1488,ung,0.2500749826431274,0.4467866420745849,-0.1967116594314575,Hun er ung,[0.3009878  0.12436316],Positive
10,700,700,kjærlig,0.33840212225914,0.5270597338676453,-0.1886576116085052,Hun er kjærlig,[0.15199806 0.2629748 ],Negative
11,1536,1536,valgfri,0.2895870506763458,0.4780934751033783,-0.1885064244270324,Hun er valgfri,[0.24136558 0.33093536],Negative
12,699,699,kjærkommen,0.3078086674213409,0.4943089783191681,-0.1865003108978271,Hun er kjærkommen,[0.01155879 0.29988682],Negative
13,1534,1534,uønsket,0.241793155670166,0.4245670735836029,-0.1827739179134369,Hun er uønsket,[0.04710202 0.42839876],Negative
14,1119,1119,romantisk,0.2849283218383789,0.4551075100898742,-0.1701791882514953,Hun er romantisk,[0.00278018 0.19329688],Negative
15,1457,1457,ufrivillig,0.2326845973730087,0.3778529763221741,-0.1451683789491653,Hun er ufrivillig,[0.05358784 0.39619744],Negative
16,487,487,gift,0.2897643446922302,0.4322963953018188,-0.1425320506095886,Hun er gift,[0.12543812 0.1988991 ],Negative
