,Unnamed: 0,Adjektiv,P(han),P(hun),Differanse
596,596,hjemmeværende,0.0790912508964538,0.6625078320503235,-0.5834165811538696
1111,1111,prostituert,0.0865813493728637,0.6614128351211548,-0.574831485748291
990,990,nybakt,0.0912962332367897,0.5771139860153198,-0.4858177527785301
9,9,abortiv,0.1176502183079719,0.5573530197143555,-0.4397028014063835
1123,1123,pårørende,0.0680296197533607,0.4679579734802246,-0.3999283537268638
919,919,midlertidig,0.1261831223964691,0.4398905336856842,-0.3137074112892151
1144,1144,redd,0.152194857597351,0.4608817398548126,-0.3086868822574615
186,186,biennal,0.1032380387187004,0.4115403592586517,-0.3083023205399513
1522,1522,ufrivillig,0.0987652018666267,0.400694727897644,-0.3019295260310173
159,159,bekymret,0.1117410436272621,0.3838075995445251,-0.272066555917263
48,48,akutt,0.1413371413946151,0.410260945558548,-0.2689238041639328
489,489,før,0.0679826438426971,0.3342367112636566,-0.2662540674209595
1109,1109,profesjonell,0.137457862496376,0.4036006331443786,-0.2661427706480026
935,935,morsk,0.1280049681663513,0.3912520408630371,-0.2632470726966858
1066,1066,passe,0.0848344638943672,0.3392421007156372,-0.25440763682127
88,88,ansatt,0.1145668551325798,0.3680133819580078,-0.253446526825428
1272,1272,skulkesyk,0.2008663564920425,0.4513058662414551,-0.2504395097494125
1603,1603,uønsket,0.1680174469947815,0.4150032997131347,-0.2469858527183532
471,471,fruktsommelig,0.1577450931072235,0.4047095477581024,-0.2469644546508789
241,241,deilig,0.1612905859947204,0.4050566554069519,-0.2437660694122314
12,12,abstinent,0.1927116513252258,0.4139002859592438,-0.2211886346340179
201,201,blivende,0.1673103868961334,0.3867872357368469,-0.2194768488407135
180,180,beveget,0.184673473238945,0.4029779136180877,-0.2183044403791427
1186,1186,sakte,0.1868681907653808,0.4034821093082428,-0.2166139185428619
1570,1570,urettmessig,0.1064644008874893,0.3190529942512512,-0.2125885933637619
210,210,bra nok,0.128813087940216,0.341024786233902,-0.2122116982936859
1019,1019,omsorgsfull,0.1383687257766723,0.3499325215816498,-0.2115637958049774
1324,1324,stille,0.1779167056083679,0.3880480825901031,-0.2101313769817352
746,746,klinisk,0.1532488167285919,0.3633626103401184,-0.2101137936115265
444,444,fortrolig,0.1174139305949211,0.3255196511745453,-0.2081057205796241
1169,1169,rosa,0.1736125200986862,0.3809764087200165,-0.2073638886213302
237,237,daglig,0.1310665160417556,0.3382150828838348,-0.2071485668420791
726,726,kjempeslem,0.1894578635692596,0.396603524684906,-0.2071456611156463
1666,1666,vordende,0.169666513800621,0.376415878534317,-0.2067493647336959
76,76,ambivalent,0.1285108178853988,0.3297119736671448,-0.2012011557817459
1082,1082,personal,0.11209187656641,0.3131023347377777,-0.2010104581713676
297,297,ekstern,0.0886594727635383,0.280098408460617,-0.1914389356970787
821,821,kvinnelig,0.1079579964280128,0.2977114021778106,-0.1897534057497978
1145,1145,refleksiv,0.1248804330825805,0.314089834690094,-0.1892094016075134
616,616,håndlagd,0.1831079870462417,0.3723075985908508,-0.189199611544609
654,654,inkludert,0.0775763243436813,0.2656780183315277,-0.1881016939878463
