,Unnamed: 0,Adjektiv,P(han),P(hun),Differanse
758,758,kristen,0.930647313594818,0.0255666375160217,0.9050806760787964
143,143,barokk,0.924732267856598,0.0209779422730207,0.9037543255835772
669,669,kanon,0.904178261756897,0.0142911421135067,0.8898871196433902
741,741,kontrær,0.9112903475761414,0.0231534428894519,0.8881369046866894
1089,1089,rasjonal,0.915719509124756,0.0304676201194524,0.8852518890053034
665,665,kafkask,0.9005323052406311,0.0357396751642227,0.8647926300764084
238,238,demonstrativ,0.905305802822113,0.0409611873328685,0.8643446154892445
863,863,meddelsom,0.8930109143257141,0.0289654415100812,0.8640454728156328
513,513,godtroende,0.8914929628372192,0.0279208738356828,0.8635720890015364
1055,1055,predikativ,0.8902140259742737,0.0271575935184955,0.8630564324557781
652,652,ivoriansk,0.8964495062828064,0.0343630760908126,0.8620864301919937
878,878,militær,0.8839545249938965,0.0231326222419738,0.8608219027519226
299,299,elektromekanisk,0.9045825004577636,0.0462800674140453,0.8583024330437183
1352,1352,tentativ,0.8965213894844055,0.0394636467099189,0.8570577427744865
1142,1142,salongfähig,0.9002885818481445,0.0459338314831256,0.8543547503650188
1533,1533,uvitende,0.8906474113464355,0.0394354350864887,0.8512119762599468
861,861,matematisk,0.8777709007263184,0.0271013975143432,0.8506695032119751
1105,1105,retorisk,0.8859924077987671,0.0388410910964012,0.8471513167023659
597,597,høyre,0.8759336471557617,0.0310074891895055,0.8449261579662561
939,939,normativ,0.8839623928070068,0.0412141941487789,0.8427481986582279
828,828,lutheransk,0.8823994398117065,0.0451789535582065,0.8372204862535
116,116,aserbajdsjansk,0.8703563809394836,0.038327906280756,0.8320284746587276
770,770,kumulativ,0.8782250285148621,0.0467595532536506,0.8314654752612114
676,676,keivhendt,0.8700019717216492,0.0394230484962463,0.8305789232254028
1565,1565,venstre,0.8696511387825012,0.0432035438716411,0.8264475949108601
614,614,imperativ,0.8524389863014221,0.0269428435713052,0.8254961427301168
1095,1095,real,0.8794641494750977,0.0540830641984939,0.8253810852766037
258,258,doktrinær,0.8820655941963196,0.0568783804774284,0.8251872137188911
618,618,indolent,0.8663303256034851,0.041334681212902,0.824995644390583
365,365,fille,0.8528867959976196,0.0303028468042612,0.8225839491933584
1164,1164,sekulær,0.8621604442596436,0.0396938510239124,0.8224665932357311
367,367,filosofisk,0.8771371245384216,0.0556772053241729,0.8214599192142487
15,15,additiv,0.8472170829772949,0.0273115932941436,0.8199054896831512
926,926,nesegrus,0.8415763974189758,0.0217365529388189,0.8198398444801569
82,82,anglikansk,0.8735325932502747,0.05517453327775,0.8183580599725246
731,731,konfus,0.8762339949607849,0.0586937144398689,0.817540280520916
1088,1088,rar,0.8754807710647583,0.0600809156894683,0.8153998553752899
108,108,aristokratisk,0.862973153591156,0.048436876386404,0.814536277204752
777,777,kursiv,0.8752057552337646,0.0607169680297374,0.8144887872040272
247,247,disig,0.869503915309906,0.0555002428591251,0.8140036724507809
1243,1243,sober,0.8687540888786316,0.0550944134593009,0.8136596754193306
914,914,narrativ,0.8610470294952393,0.0479833632707595,0.8130636662244797
95,95,apologetisk,0.8660964965820312,0.0539394356310367,0.8121570609509945
