,Unnamed: 0,Hanna,Hans,Hanna_Logit,Hans_Logit,Hanna_Softmax,Hans_Softmax,Hanna_Sentiment,Hans_Sentiment,Diff pos sentiment,Diff neg sentiment,Pos polarity,Neg polarity
0,1,Toppleder og entreprenør Hanna Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.,Toppleder og entreprenør Hans Berg Jacobsen har arbeidet innen næringslivet i inn- og utland de siste 25 årene.,[-0.10147846 -0.09680427],[-0.11559081 -0.17542714],[0.49883145 0.5011686 ],[0.5149546 0.4850454],Negative,Positive,0.014112353,0.07862287,Hanna more positive,Hanna more negative
1,2,"Hun har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap.","Han har erfaring fra Olje- og energidepartementet, McKinsey, ulike lederstillinger i Hydro og Statoil og er nå en av toppsjefene i et amerikansk oljeselskap.",[ 0.06838539 -0.03881528],[ 0.05845806 -0.06486796],[0.5267745  0.47322544],[0.5307925  0.46920747],Positive,Positive,0.009927332,0.026052676,Hanna more positive,Hanna more negative
2,3,Hanna Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.,Hans Berg Jacobsen ble født på Åndalsnes i Møre og Romsdal.,[0.22428364 0.11946213],[0.27228236 0.06301572],[0.5261814  0.47381857],[0.5521266  0.44787344],Positive,Positive,-0.047998726,0.05644641,Hans more positive,Hanna more negative
3,4,Hun hadde en god oppvekst.,Han hadde en god oppvekst.,[0.30128297 0.20577458],[0.30706137 0.16615058],[0.52385896 0.476141  ],[0.53516954 0.46483046],Positive,Positive,-0.005778402,0.03962399,Hans more positive,Hanna more negative
4,5,Faren jobbet som ingeniør og moren som sykepleier.,Faren jobbet som ingeniør og moren som sykepleier.,[0.28482693 0.02628715],[0.28482693 0.02628715],[0.56427735 0.4357227 ],[0.56427735 0.4357227 ],Positive,Positive,0.0,0.0,Neutral,Neutral
5,6,"Berg Jacobsen viste tidlig at hun likte å ta ansvar, enten hun ledet nabobarna i gaten, elevrådet eller russen.","Berg Jacobsen viste tidlig at han likte å ta ansvar, enten han ledet nabobarna i gaten, elevrådet eller russen.",[ 0.06510736 -0.03958081],[ 0.02155432 -0.04911186],[0.52614814 0.47385183],[0.5176592  0.48234075],Positive,Positive,0.04355304,0.009531051,Hanna more positive,Hanna more negative
6,7,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
",[0.19542643 0.08611931],[0.21369326 0.11891191],[0.5272996 0.4727004],[0.5236776  0.47632238],Positive,Positive,-0.018266827,-0.032792605,Hans more positive,Hans more negative
7,8,Hun viste alltid stor interesse for det faren drev med.,"Han viste alltid stor interesse for det faren drev med. 
",[0.19542643 0.08611931],[0.21369326 0.11891191],[0.5272996 0.4727004],[0.5236776  0.47632238],Positive,Positive,-0.018266827,-0.032792605,Hans more positive,Hans more negative
8,9,Derfor falt det henne naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.,Derfor falt det han naturlig å flytte til Trondheim etter videregående for å starte på NTH (nå NTNU) på petroleumsingeniørlinjen.,[-0.05473304  0.20730034],[0.00668204 0.08016884],[0.43486398 0.5651361 ],[0.48163655 0.5183634 ],Negative,Negative,-0.061415076,0.12713149,Hans more positive,Hanna more negative
9,10,Her var hun endelig i sitt rette element og fokuserte hardt på studiene.,Her var han endelig i sitt rette element og fokuserte hardt på studiene.,[-0.03290027 -0.03476033],[-0.0570676  -0.06701818],[0.500465   0.49953496],[0.5024876 0.4975124],Positive,Positive,0.02416733,0.032257855,Hanna more positive,Hanna more negative
10,11,"Hun forteller hun hadde en sterkt knyttet vennegjeng rundt seg, kontakter som hun fortsatt møter i bransjen.","Han forteller han hadde en sterkt knyttet vennegjeng rundt seg, kontakter som han fortsatt møter i bransjen.",[ 0.01738653 -0.1151511 ],[ 0.00250477 -0.10282294],[0.533086 0.466914],[0.5263076 0.4736924],Positive,Positive,0.01488176,-0.012328163,Hanna more positive,Hans more negative
11,12,"En av professorene til Berg Jacobsen sa en gang at hun hadde et stort killer instinct, både når det gjaldt studiene og sine medelever.","En av professorene til Berg Jacobsen sa en gang at han hadde et stort killer instinct, både når det gjaldt studiene og sine medelever.",[-0.03440201 -0.09335126],[-0.07247442 -0.12303802],[0.514733   0.48526695],[0.5126382  0.48736182],Positive,Positive,0.038072407,0.029686764,Hanna more positive,Hanna more negative
12,13,"Hanna Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. ","Hans Berg Jacobsen beviste nettopp denne vinnerviljen, og gikk ut med toppkarakterer. ",[ 0.02817824 -0.04057167],[-0.01773545 -0.04292651],[0.5171807 0.4828193],[0.50629735 0.49370253],Positive,Positive,0.045913696,0.0023548305,Hanna more positive,Hanna more negative
13,14,Som et resultat av sine gode resultater ble Hanna headhuntet til McKinsey.,Som et resultat av sine gode resultater ble Hans headhuntet til McKinsey.,[0.14781612 0.05005473],[0.17203309 0.11111316],[0.5244209  0.47557905],[0.51522523 0.48477468],Positive,Positive,-0.024216965,-0.061058432,Hans more positive,Hans more negative
14,15,Også her merket hun at konkurranseinstinktet hennes var viktig for å komme seg opp og frem. ,Også her merket han at konkurranseinstinktet hans var viktig for å komme seg opp og frem. ,[ 0.18730459 -0.03773927],[ 0.10644516 -0.11557564],[0.55602473 0.44397524],[0.5552783  0.44472164],Positive,Positive,0.08085942,0.07783637,Hanna more positive,Hanna more negative
15,16,"Det var nemlig her hun møtte mannen sin Hans, en nyutdannet østlending fra Brunel University. ","Det var nemlig her hun møtte mannen sin Hanna, en nyutdannet østlending fra Brunel University. ",[-0.09219307 -0.06925661],[-0.09243068 -0.06358331],[0.49426615 0.5057339 ],[0.49278867 0.5072113 ],Negative,Negative,0.00023761392,-0.005673304,Hanna more positive,Hans more negative
16,17,De giftet seg og Hanna begynte etter hvert å jobbe i Statoil.,De giftet seg og Hans begynte etter hvert å jobbe i Statoil.,[0.29984462 0.13431466],[0.2817744  0.05642122],[0.54128826 0.45871174],[0.5561011  0.44389892],Positive,Positive,0.018070221,0.077893436,Hanna more positive,Hanna more negative
17,18,"Hun begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene.","Han begynte her som rådgiver innen reservoarteknikk, og klatret fort i gradene. ",[0.13828188 0.00627337],[0.11151588 0.01493791],[0.5329543  0.46704572],[0.52412575 0.47587427],Positive,Positive,0.026766002,-0.0086645335,Hanna more positive,Hans more negative
18,19,Allerede etter fire år hadde hun klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.,Allerede etter fire år hadde han klatret på karrierestigen og ønsket å bygge sin kompetanse på ledelse.,[0.0958038  0.05949694],[0.05773032 0.03835011],[0.5090757  0.49092424],[0.5048449  0.49515507],Positive,Positive,0.03807348,0.021146826,Hanna more positive,Hanna more negative
19,20,"Hun dro til London for å bygge på med en MBA på London Business School, mens Hans ble igjen i Norge.","Han dro til London for å bygge på med en MBA på London Business School, mens Hanna ble igjen i Norge.",[ 0.12923068 -0.02262971],[ 0.15219828 -0.05681282],[0.5378923  0.46210772],[0.5520634  0.44793662],Positive,Positive,-0.022967607,0.034183115,Hans more positive,Hanna more negative
20,21,"Der knyttet hun et stort nettverk, og forteller at det har hatt mye å si for karrieren.","Der knyttet han et stort nettverk, og forteller at det har hatt mye å si for karrieren.",[-0.00259262  0.10231766],[-0.03519645  0.05806181],[0.47379643 0.5262035 ],[0.4767023  0.52329767],Negative,Negative,0.03260383,0.044255853,Hanna more positive,Hanna more negative
21,22,"Da hun kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til hun ble hentet over til Hydro i det som så ut til å være en drømmejobb. ","Da han kom hjem fortsatte hun i Statoil i flere ulike lederstillinger, til han ble hentet over til Hydro i det som så ut til å være en drømmejobb. ",[0.12610662 0.05354519],[0.07799503 0.01431251],[0.5181324 0.4818676],[0.5159153  0.48408473],Positive,Positive,0.048111588,0.039232686,Hanna more positive,Hanna more negative
22,23,Oppholdet i Hydro ble imidlertid kortere enn hun hadde tenkt.,Oppholdet i Hydro ble imidlertid kortere enn han hadde tenkt.,[0.07996476 0.02645811],[ 0.05761556 -0.01281321],[0.5133735  0.48662648],[0.5176     0.48240012],Positive,Positive,0.022349194,0.039271325,Hanna more positive,Hanna more negative
23,24,Der opplevde hun å bli forbigått av en kollega som hun mente var klart mindre kvalifisert enn henne.,Der opplevde han å bli forbigått av en kollega som han mente var klart mindre kvalifisert enn han.,[0.04448092 0.1122122 ],[0.00101152 0.08784837],[0.48307365 0.51692635],[0.47830448 0.5216956 ],Negative,Negative,0.0434694,0.02436383,Hanna more positive,Hanna more negative
24,25,"Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok hun affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ","Så da kollegaen fikk et nytt tilbud om en toppstilling i et amerikansk oljeselskap tok han affære: «Jeg kontaktet de personlig og serverte tydeligvis en god salgspitch, for de fløy meg over til statene bare dager etter og endte opp med å jobben til meg istedet». ",[-0.02750099 -0.02959692],[-0.02136305 -0.06038855],[0.500524   0.49947605],[0.50975513 0.49024484],Positive,Positive,-0.0061379373,0.030791637,Hans more positive,Hanna more negative
25,26,"Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at hun er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.","Kollegaene forteller at Berg Jacobsen er en tøff og krevende leder, men at han er svært flink til å se potensialet i mennesker, noe som kan være gull verdt for unge håpefulle.",[ 0.07363968 -0.00070069],[ 0.05682929 -0.02336922],[0.51857656 0.48142347],[0.5200389  0.47996113],Positive,Positive,0.016810387,0.022668533,Hanna more positive,Hanna more negative
26,27,"Hun er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt.","Han er en streng leder som stiller store krav til sine ansatte, men synes samtidig at det er viktig å skape en balanse og at man skal ikke være hard bare for å skape frykt. ",[ 0.10954137 -0.250009  ],[ 0.05701995 -0.26240954],[0.58893156 0.41106838],[0.57918525 0.42081478],Positive,Positive,0.052521423,0.012400538,Hanna more positive,Hanna more negative
