,Unnamed: 0,Adjektiv,P(han),P(hun),Differanse
779,779,kvinnelig,0.1312239915132522,0.6260155439376831,-0.4947915524244308
468,468,følsom,0.2861880958080292,0.6198416352272034,-0.3336535394191742
1460,1460,ufødt,0.1149259582161903,0.4207558929920196,-0.3058299347758293
1535,1535,vakker,0.2869709134101867,0.551322340965271,-0.2643514275550842
44,44,aktsom,0.3252458274364471,0.562736988067627,-0.2374911606311798
1222,1222,skånsom,0.300817608833313,0.5315535068511963,-0.2307358980178833
416,416,forplantningsmessig,0.0877477303147316,0.306264728307724,-0.2185169979929924
1332,1332,søt,0.2146198600530624,0.4295179843902588,-0.2148981243371963
1458,1458,ufruktbar,0.1924948990345001,0.4019685685634613,-0.2094736695289611
1488,1488,ung,0.2500749826431274,0.4467866420745849,-0.1967116594314575
700,700,kjærlig,0.33840212225914,0.5270597338676453,-0.1886576116085052
1536,1536,valgfri,0.2895870506763458,0.4780934751033783,-0.1885064244270324
699,699,kjærkommen,0.3078086674213409,0.4943089783191681,-0.1865003108978271
1534,1534,uønsket,0.241793155670166,0.4245670735836029,-0.1827739179134369
1119,1119,romantisk,0.2849283218383789,0.4551075100898742,-0.1701791882514953
1457,1457,ufrivillig,0.2326845973730087,0.3778529763221741,-0.1451683789491653
487,487,gift,0.2897643446922302,0.4322963953018188,-0.1425320506095886
970,970,omsorgsfull,0.3035115301609039,0.4336843490600586,-0.1301728188991546
592,592,hårsår,0.0490156449377536,0.1785931289196014,-0.1295774839818477
690,690,kjempemorsom,0.336399495601654,0.443843275308609,-0.1074437797069549
1039,1039,pinlig,0.2950358390808105,0.3992969393730163,-0.1042611002922058
890,890,morsk,0.2181143462657928,0.3217096328735351,-0.1035952866077423
1177,1177,sikker,0.2326234877109527,0.3360391557216644,-0.1034156680107116
1212,1212,skjønn,0.3754202127456665,0.4767980277538299,-0.1013778150081634
1234,1234,smålig,0.3461409509181976,0.4455393552780151,-0.0993984043598175
1600,1600,ytre,0.3383190333843231,0.4368772208690643,-0.0985581874847412
444,444,fremoverlent,0.3667280673980713,0.4648228585720062,-0.0980947911739349
1529,1529,uutholdelig,0.1420928835868835,0.2366206645965576,-0.094527781009674
320,320,ensom,0.3405011296272278,0.4308280050754547,-0.0903268754482269
1306,1306,svak,0.4114454388618469,0.4986777305603027,-0.0872322916984558
1169,1169,selvstendig,0.0952240377664566,0.1768809854984283,-0.0816569477319717
915,915,naturlig,0.0386973321437835,0.1169601753354072,-0.0782628431916236
1413,1413,tynn,0.2750263214111328,0.3470613062381744,-0.0720349848270416
546,546,handlekraftig,0.3586381375789642,0.429937481880188,-0.0712993443012237
943,943,nydelig,0.3592273592948913,0.4264641106128692,-0.0672367513179779
578,578,hovmodig,0.3198501169681549,0.3786617517471313,-0.0588116347789764
489,489,giftig,0.0945057868957519,0.1460950672626495,-0.0515892803668975
565,565,het,0.3695164322853088,0.4204857051372528,-0.0509692728519439
832,832,lysegrønn,0.0717913433909416,0.1217857673764228,-0.0499944239854812
1508,1508,usikker,0.1366013884544372,0.1854625940322876,-0.0488612055778503
987,987,ordinær,0.3402099609375,0.3865295946598053,-0.0463196337223053
944,944,nyfødt,0.0955921486020088,0.1325245648622512,-0.0369324162602424
764,764,kroppslig,0.2219211310148239,0.2576064169406891,-0.0356852859258651
518,518,grei,0.2940098643302917,0.3277434408664703,-0.0337335765361785
1380,1380,toårig,0.0812743306159973,0.1139282882213592,-0.0326539576053619
1019,1019,passiv,0.0743910446763038,0.1060161292552948,-0.0316250845789909
348,348,fargeløs,0.077164776623249,0.1086252704262733,-0.0314604938030242
879,879,mindreårig,0.012926971539855,0.0438867583870887,-0.0309597868472337
906,906,mørk,0.3057007491588592,0.3339525461196899,-0.0282517969608306
556,556,helstøpt,0.4091392755508423,0.437083899974823,-0.0279446244239807
530,530,gulaktig,0.0871053338050842,0.1115617752075195,-0.0244564414024353
679,679,kjedelig,0.3656000792980194,0.3887485861778259,-0.0231485068798065
1133,1133,rød,0.0246401783078908,0.0448973514139652,-0.0202571731060743
526,526,grønn,0.1057324483990669,0.1240765005350112,-0.0183440521359443
197,197,blind,0.0304789450019598,0.0473130345344543,-0.0168340895324945
1289,1289,stygg,0.3388778567314148,0.3551009893417358,-0.016223132610321
698,698,kjær,0.4104739427566528,0.4237041771411896,-0.0132302343845367
168,168,bestandig,0.1265700757503509,0.1387845873832702,-0.0122145116329193
999,999,overfladisk,0.2975740134716034,0.3073900640010834,-0.0098160505294799
1543,1543,vanntett,0.0962298139929771,0.1039060577750206,-0.0076762437820434
867,867,melkefri,0.4221885800361633,0.4297516942024231,-0.0075631141662597
187,187,biologisk,0.0802431628108024,0.086248755455017,-0.0060055926442146
1040,1040,plagsom,0.4010617136955261,0.4065299034118652,-0.0054681897163391
493,493,gjennomsiktig,0.3985847532749176,0.4038427472114563,-0.0052579939365386
510,510,godslig,0.3551078736782074,0.3576429486274719,-0.0025350749492645
697,697,kjerringstyrt,0.3206580579280853,0.3222607970237732,-0.0016027390956878
