,Yrke,P(han),P(hun),Differanse
0,juridisk konsulent ,0.17878514528274536,0.23709771037101746,-0.058312565088272095
1,varaordfører,0.19558238983154297,0.16339074075222015,0.032191649079322815
2,havforsker,0.2852203845977783,0.20574632287025452,0.0794740617275238
3,kontrollfullmektig ,0.17656828463077545,0.3595578074455261,-0.18298952281475067
4,riksadvokat,0.2588355839252472,0.09661414474248886,0.16222143918275833
5,overveterinær,0.18355205655097961,0.04988174885511398,0.13367030769586563
6,havarisekretær ,0.3183766305446625,0.12465524673461914,0.19372138381004333
7,kontrolloperatør ,0.1976894587278366,0.08203285187482834,0.11565660685300827
8,biskop,0.31564265489578247,0.04719778522849083,0.26844486966729164
9,maskinstiller ,0.21789954602718353,0.09959066659212112,0.11830887943506241
10,røntgensykepleier,0.08773094415664673,0.3328797221183777,-0.24514877796173096
11,røringeniør,0.23295913636684418,0.16212362051010132,0.07083551585674286
12,fysioterapeut ,0.23403243720531464,0.07680990546941757,0.15722253173589706
13,oseanograf,0.29655274748802185,0.26199981570243835,0.034552931785583496
14,museumsvakt,0.14642806351184845,0.273607462644577,-0.12717939913272858
15,betjentformann,0.23315131664276123,0.1504422426223755,0.08270907402038574
16,fraktsjef ,0.16590727865695953,0.04855591803789139,0.11735136061906815
17,meteorologifullmektig,0.2713910639286041,0.24820852279663086,0.023182541131973267
18,telegrafist,0.21984103322029114,0.18768812716007233,0.03215290606021881
19,produktsekretær ,0.14963744580745697,0.24239613115787506,-0.09275868535041809
20,urmaker,0.17243991792201996,0.045095961540937424,0.12734395638108253
21,bussjåfør,0.1015198826789856,0.05862937495112419,0.042890507727861404
22,brukerrepresentant ,0.09678804129362106,0.07474344223737717,0.022044599056243896
23,truckfører,0.18495503067970276,0.05877267196774483,0.12618235871195793
24,kjemitekniker,0.3678215742111206,0.15875668823719025,0.20906488597393036
25,osteopat,0.12495951354503632,0.0889567956328392,0.03600271791219711
26,kinodirektør,0.4511215090751648,0.18499621748924255,0.26612529158592224
27,tvisteløser ,0.07619080692529678,0.0343485027551651,0.04184230417013168
28,bulldoserkjører,0.17062394320964813,0.05509423464536667,0.11552970856428146
29,provisjonsselger ,0.14670318365097046,0.05378519371151924,0.09291798993945122
30,barnevakt,0.03368651494383812,0.11005406081676483,-0.07636754587292671
31,reprotekniker,0.3477363586425781,0.1392468363046646,0.2084895223379135
32,hattemaker,0.19336262345314026,0.1060892641544342,0.08727335929870605
33,damvokter ,0.08328645676374435,0.41884833574295044,-0.3355618789792061
34,protesetekniker,0.26590076088905334,0.1560192108154297,0.10988155007362366
35,restaurantinspektør,0.3002485930919647,0.2832624018192291,0.016986191272735596
36,konferanseplanlegger,0.20030194520950317,0.1490374207496643,0.05126452445983887
37,utvikler ,0.11831914633512497,0.039028603583574295,0.07929054275155067
38,postsorterer,0.10848857462406158,0.27995172142982483,-0.17146314680576324
39,yrkesfaglærer,0.0873899906873703,0.4642976224422455,-0.3769076317548752
40,maskinbrenner,0.15341195464134216,0.08412456512451172,0.06928738951683044
41,ishockeytrener,0.6180492639541626,0.08458594232797623,0.5334633216261864
42,lensmannsførstebetjent,0.28686296939849854,0.2119247317314148,0.07493823766708374
43,eiendomsmeglerfullmektig,0.18281368911266327,0.36631545424461365,-0.18350176513195038
44,byveterinær,0.1795230209827423,0.196651428937912,-0.017128407955169678
45,miljøvernsjef,0.12599264085292816,0.15448883175849915,-0.028496190905570984
46,statslos,0.13201159238815308,0.09583233296871185,0.03617925941944122
47,discjockey ,0.14679428935050964,0.0546465665102005,0.09214772284030914
48,barne- og ungdomssekretær ,0.1232510656118393,0.3118158280849457,-0.18856476247310638
49,terpentindestillatør,0.18607935309410095,0.19897142052650452,-0.012892067432403564
50,sikkerhetsingeniør,0.3660564124584198,0.12052382528781891,0.2455325871706009
51,skiftekontrollør,0.2548338770866394,0.09696665406227112,0.1578672230243683
52,forsker ,0.13335342705249786,0.1326097548007965,0.000743672251701355
53,formidler ,0.25093284249305725,0.05240765959024429,0.19852518290281296
54,forskningsdirektør ,0.3383142352104187,0.1258316934108734,0.2124825417995453
55,advokat,0.15028902888298035,0.039900824427604675,0.11038820445537567
56,overinspektør ,0.13365401327610016,0.1043262705206871,0.029327742755413055
57,rodeleder,0.07136618345975876,0.023481879383325577,0.04788430407643318
58,tollinspektør,0.3795815110206604,0.13601551949977875,0.24356599152088165
59,herrefrisør,0.05162655934691429,0.20036640763282776,-0.14873984828591347
60,landbrukssjef,0.2084484100341797,0.13102318346500397,0.07742522656917572
61,eksportutsending ,0.14661552011966705,0.09939281642436981,0.04722270369529724
62,tømrer,0.24986839294433594,0.05130397528409958,0.19856441766023636
63,bakteriolog,0.2521041929721832,0.14562605321407318,0.10647813975811005
64,bygningskontrollør,0.26602089405059814,0.15921686589717865,0.1068040281534195
65,instrumentmontør ,0.3035507798194885,0.09811478853225708,0.20543599128723145
66,paleontolog,0.4054887890815735,0.14000840485095978,0.2654803842306137
67,senior kalkulatør,0.3459446132183075,0.12921015918254852,0.21673445403575897
68,industrisnekker,0.1150609627366066,0.07836335897445679,0.03669760376214981
69,kjøkkeninteniørselger,0.14815115928649902,0.21739335358142853,-0.0692421942949295
70,bokbindermester,0.3005991578102112,0.024193644523620605,0.2764055132865906
71,dataregistreringsoperatør,0.1750136911869049,0.03314090520143509,0.14187278598546982
72,skiltdekoratør,0.20321215689182281,0.30268561840057373,-0.09947346150875092
73,reisebyråmedarbeider,0.1215643659234047,0.23722466826438904,-0.11566030234098434
74,markedssekretær,0.1381581872701645,0.16897688806056976,-0.030818700790405273
75,renholdsarbeider,0.16220064461231232,0.28681039810180664,-0.12460975348949432
76,kommandør,0.26087629795074463,0.0381922610104084,0.22268403694033623
77,sveisekoordinator ,0.2821222245693207,0.11299443244934082,0.16912779211997986
78,vognbetjent,0.25296008586883545,0.27154576778411865,-0.018585681915283203
79,kamera-assistent,0.09693648666143417,0.0405542217195034,0.05638226494193077
80,regnskapskontrollør,0.1482076793909073,0.1059638038277626,0.042243875563144684
81,teatersjef ,0.2233532816171646,0.29686081409454346,-0.07350753247737885
82,oppredningsarbeider,0.1526045948266983,0.07683011889457703,0.07577447593212128
83,bookingmedarbeider ,0.1714051514863968,0.1846902072429657,-0.013285055756568909
84,kosmetolog,0.1945648491382599,0.3600253462791443,-0.1654604971408844
85,herredskasserer,0.17749541997909546,0.11950621008872986,0.0579892098903656
86,ornitolog,0.3787030577659607,0.22821548581123352,0.15048757195472717
87,transportformann,0.37651878595352173,0.12501844763755798,0.25150033831596375
88,avdelingssykepleier,0.042916957288980484,0.4391101896762848,-0.3961932323873043
89,attføringskoordinator,0.1441703587770462,0.2083103358745575,-0.06413997709751129
90,sjefflygeleder,0.19620637595653534,0.06636913865804672,0.12983723729848862
91,"planleggingsingeniør, sivil ",0.11055280268192291,0.2192714661359787,-0.10871866345405579
92,inspisient,0.13187183439731598,0.05732849985361099,0.07454333454370499
93,logistikkonsulent,0.21188591420650482,0.3041535019874573,-0.09226758778095245
94,hudpleier,0.06296741217374802,0.33300137519836426,-0.27003396302461624
95,bergmester ,0.37709537148475647,0.10180171579122543,0.27529365569353104
96,konserndirektør,0.1700078845024109,0.06814263761043549,0.1018652468919754
97,drosjesentralvakt,0.05347700044512749,0.11398030817508698,-0.06050330772995949
98,grafiker ,0.2747373878955841,0.2000742405653,0.07466314733028412
99,sagbruks- og høvleriarbeider,0.13485823571681976,0.1435532569885254,-0.008695021271705627
100,førstelagmann,0.4061845541000366,0.023898804560303688,0.38228574953973293
101,fiskeforsker,0.24698342382907867,0.18356069922447205,0.06342272460460663
102,konserveringsarbeider ,0.13050243258476257,0.20797428488731384,-0.07747185230255127
103,skogfullmektig,0.19569836556911469,0.38525792956352234,-0.18955956399440765
104,sementarbeider ,0.129777193069458,0.17648939788341522,-0.046712204813957214
105,konsernøkonom,0.32108545303344727,0.10494320094585419,0.21614225208759308
106,batteriarbeider ,0.23196615278720856,0.20863887667655945,0.02332727611064911
107,perforatør ,0.23116369545459747,0.11369061470031738,0.11747308075428009
108,sporvognfører,0.20578248798847198,0.28214284777641296,-0.07636035978794098
109,områdeleder ,0.13250114023685455,0.10838360339403152,0.02411753684282303
110,trafikklærer,0.14187771081924438,0.36406558752059937,-0.22218787670135498
111,forsikringsrådgiver ,0.06669078767299652,0.14540432393550873,-0.07871353626251221
112,vareautomatoperatør ,0.06651628017425537,0.03202376142144203,0.03449251875281334
