,Hobby,P(his),P(her),Diff
125,	Motor sports	,0.8842207789421082,0.03709510713815689,0.8471256718039513
86,	Air sports	,0.88169264793396,0.04699036106467247,0.8347022868692875
43,	Kabaddi	,0.8695604801177979,0.03930549696087837,0.8302549831569195
91,	Baseball	,0.8848452568054199,0.05979444831609726,0.8250508084893227
76,	Video gaming	,0.857182502746582,0.03457748144865036,0.8226050212979317
5,	Board games	,0.8795770406723022,0.05964433401823044,0.8199327066540718
141,	Rugby	,0.8699267506599426,0.06103145703673363,0.808895293623209
31,	role-playing games	,0.86665940284729,0.06495626270771027,0.8017031401395798
92,	Basketball	,0.8668587803840637,0.06637267768383026,0.8004861027002335
158,	Surfing	,0.8560968637466431,0.06165919825434685,0.7944376654922962
67,	Sewing	,0.14386770129203796,0.6613851189613342,-0.5175174176692963
25,	Embroidery	,0.21694552898406982,0.6157864332199097,-0.39884090423583984
42,	Knitting	,0.22601287066936493,0.5822218060493469,-0.356208935379982
130,	Netball	,0.36695003509521484,0.5626602172851562,-0.1957101821899414
38,	Jewelry making	,0.4158620834350586,0.5208588242530823,-0.10499674081802368
12,	Cooking	,0.4129081666469574,0.461125910282135,-0.04821774363517761
27,	Flower arranging	,0.34702804684638977,0.3761952817440033,-0.029167234897613525
21,	Drama	,0.26681527495384216,0.28670233488082886,-0.019887059926986694
150,	Shopping	,0.42093950510025024,0.41203242540359497,0.008907079696655273
45,	Lacemaking	,0.4137249290943146,0.3970259428024292,0.016698986291885376
