,Yrke,P(han),P(hun),Differanse
2780,generalinspektør for sjøforsvaret,0.7609735131263733,0.046495091170072556,0.7144784219563007
485,generalinspektør for luftforsvaret,0.7330249547958374,0.01908823475241661,0.7139367200434208
3287,generalinspektør for hæren,0.687961995601654,0.040544744580984116,0.6474172510206699
62,"divisjonsdirektør skogbruk, gartnerier mv.",0.7360838651657104,0.09075991809368134,0.6453239470720291
2608,overlege i pediatri,0.6335951089859009,0.05470472574234009,0.5788903832435608
793,divisjonsdirektør akvakultur mv.,0.6774656176567078,0.1072881892323494,0.5701774284243584
768,ishockeytrener,0.6180492639541626,0.08458594232797623,0.5334633216261864
421,oberstløytnant,0.556859016418457,0.02697134017944336,0.5298876762390137
510,"divisjonssjef skogbruk, gartnerier mv.",0.637482762336731,0.10849269479513168,0.5289900675415993
3132,byrettsjustitiarius,0.5643260478973389,0.036741308867931366,0.5275847390294075
2902,bedriftsoverlege,0.5408710837364197,0.021502908319234848,0.5193681754171848
2268,senior sveiseinspektør,0.5569061040878296,0.04501689225435257,0.511889211833477
340,fylkesarkivar,0.5268514752388,0.020287415012717247,0.5065640602260828
1118,skipsinspektør,0.5829062461853027,0.08531283587217331,0.4975934103131294
1840,skifterettsjustitiarius,0.5098161697387695,0.020535914227366447,0.4892802555114031
3620,kuldemontørmester ,0.5227059721946716,0.04374844208359718,0.47895753011107445
1970,blyglassmestersvenn,0.5135605931282043,0.036281030625104904,0.47727956250309944
2548,hjul- og karosserimakermester,0.513885498046875,0.03699079155921936,0.47689470648765564
3021,assisterende sjefspsykolog,0.5752213597297668,0.10087167471647263,0.4743496850132942
1307,skvadronsmester,0.5172291398048401,0.04440167546272278,0.4728274643421173
3674,kreditoransvarlig,0.5645954012870789,0.09496261179447174,0.4696327894926071
1704,installasjonsinspektør,0.5090048313140869,0.042659398168325424,0.4663454331457615
1330,ledende ortopeditekniker,0.499753475189209,0.035443421453237534,0.46431005373597145
229,branninspektør,0.5394318699836731,0.07522422075271606,0.46420764923095703
2585,sjefpsykolog,0.5613185167312622,0.0971137136220932,0.464204803109169
1079,instruktørtannlege,0.4713049530982971,0.013560868799686432,0.4577440842986107
1099,nautisk instrumentmaker,0.5117319822311401,0.05646878480911255,0.4552631974220276
2491,viseadmiral,0.4729761779308319,0.02195284143090248,0.45102333649992943
1511,finsteinhoggermester,0.46172231435775757,0.011709720827639103,0.45001259353011847
1045,rittmester,0.5403740406036377,0.09240170568227768,0.44797233492136
2060,ndt-ingeniør,0.4662753641605377,0.019933678209781647,0.4463416859507561
2969,sjef luftforsvaret,0.49383074045181274,0.04761233925819397,0.4462184011936188
2531,edb-ingeniør,0.5144314169883728,0.06846288591623306,0.44596853107213974
2956,baneregionsjef,0.5034022331237793,0.05791839212179184,0.44548384100198746
2596,fyrtjenestermann,0.4569534659385681,0.013235620222985744,0.44371784571558237
442,flystyrmann,0.5225275158882141,0.07905653119087219,0.4434709846973419
3520,glasiolog,0.5070661902427673,0.06466900557279587,0.44239718466997147
2532,bedriftsbibliotekar,0.4492744505405426,0.00961597915738821,0.4396584713831544
2073,kurvmakermester,0.5187270641326904,0.08054689317941666,0.4381801709532738
810,avdelingsbibliotekar,0.43978238105773926,0.011520984582602978,0.4282613964751363
1814,geofysiker,0.5042257308959961,0.0760069340467453,0.4282187968492508
2567,vaktmester i,0.5454842448234558,0.11836186051368713,0.4271223843097687
874,gassverksjef,0.4624268114566803,0.035834331065416336,0.42659248039126396
418,"fagsjef skogbruk, gartnerier mv.",0.5574182868003845,0.1310557872056961,0.4263624995946884
394,universitetsbibliotekar,0.43892982602119446,0.016579071059823036,0.4223507549613714
1514,assisterende sjøfartsdirektør,0.5119705200195312,0.09203125536441803,0.4199392646551132
735,motormann,0.44692757725715637,0.02791672945022583,0.41901084780693054
2407,mub ingeniør,0.45033150911331177,0.03308655694127083,0.41724495217204094
501,mekanisk kabeloperasjonstekniker ,0.465167373418808,0.04889408499002457,0.4162732884287834
3100,senior dimensjonskontrollør ,0.4456953704357147,0.030984779819846153,0.41471059061586857
2940,pediatrisykepleier,0.03704501688480377,0.5266627669334412,-0.4896177500486374
1246,fagutviklingssykepleier,0.015460047870874405,0.4921852648258209,-0.4767252169549465
3072,bedriftssykepleier,0.01666697859764099,0.474992573261261,-0.45832559466362
2812,båtvertinne,0.01455643866211176,0.4722679853439331,-0.45771154668182135
94,operasanger,0.10034411400556564,0.539547324180603,-0.4392032101750374
1068,hoffdame,0.022573819383978844,0.4587983191013336,-0.4362244997173548
109,pedriatisk sykepleier,0.10669678449630737,0.5413778424263,-0.4346810579299927
3355,opplæringssykepleier,0.03867844492197037,0.4692434072494507,-0.4305649623274803
3609,kulturskolelærer,0.08142014592885971,0.5093765258789062,-0.42795637995004654
773,geriatrisykepleier,0.055102549493312836,0.4758912920951843,-0.4207887426018715
2251,narkosesykepleier,0.028717581182718277,0.42645692825317383,-0.39773934707045555
2612,avdelingssykepleier,0.042916957288980484,0.4391101896762848,-0.3961932323873043
90,barnesykepleier,0.031807202845811844,0.4220947027206421,-0.39028749987483025
2106,dommerfullmektig,0.12629547715187073,0.5083561539649963,-0.3820606768131256
2996,operasjonssykepleier,0.026348216459155083,0.40450409054756165,-0.37815587408840656
111,yrkesfaglærer,0.0873899906873703,0.4642976224422455,-0.3769076317548752
780,musikkskolelærer,0.14014624059200287,0.5142852663993835,-0.3741390258073807
487,fylkesskogsmesterassistent,0.1323673129081726,0.5047973394393921,-0.3724300265312195
785,dyrepleier,0.06592987477779388,0.4363189935684204,-0.3703891187906265
148,familiebarnehageassistent,0.13009364902973175,0.49916958808898926,-0.3690759390592575
878,optikerlærling,0.08940251171588898,0.4578200876712799,-0.36841757595539093
3491,jordskiftedommerfullmektig,0.09299323707818985,0.45425158739089966,-0.3612583503127098
295,onkologisykepleier,0.051051001995801926,0.41109946370124817,-0.36004846170544624
1526,teaterpedagog,0.14014922082424164,0.4985153079032898,-0.35836608707904816
2410,sosialfullmektig ,0.1229550763964653,0.4802404046058655,-0.3572853282094002
1402,dramalærer,0.11411683261394501,0.4710708260536194,-0.3569539934396744
890,stylist,0.036179929971694946,0.3836730122566223,-0.34749308228492737
1689,hjemmesykepleier,0.0291640292853117,0.3739776909351349,-0.3448136616498232
2067,damvokter ,0.08328645676374435,0.41884833574295044,-0.3355618789792061
1742,assisterende avdelingssykepleier,0.11622156947851181,0.4479777216911316,-0.3317561522126198
2713,jazzsanger,0.10537475347518921,0.4367820620536804,-0.3314073085784912
1014,klinisk barnevernspedagog,0.17272025346755981,0.5025762915611267,-0.3298560380935669
1938,kreftsykepleier,0.0528561994433403,0.3822804391384125,-0.3294242396950722
3138,sosiallærer ,0.12645386159420013,0.4515760540962219,-0.3251221925020218
584,barnepleier,0.04712226241827011,0.3715931475162506,-0.3244708850979805
2204,barnepasser,0.05142129212617874,0.3730040490627289,-0.32158275693655014
