,Yrke,P(han),P(hun),Differanse
0,havnetrafikkleder,0.02529647760093212,0.09695632755756378,-0.07165984995663166
1,kontrollveterinær,0.04735102877020836,0.06573853455483913,-0.018387505784630775
2,landbruksveileder ,0.026267211884260178,0.07579591125249863,-0.04952869936823845
3,politisk rådgiver ,0.05968727543950081,0.030862899497151375,0.028824375942349434
4,studioleder ,0.02902214229106903,0.014649961143732071,0.01437218114733696
5,senior maskiningeniør,0.05545019917190075,0.04748915880918503,0.007961040362715721
6,fritidsklubbassistent,0.04398235771805048,0.023913688957691193,0.020068668760359287
7,totalisatorfunksjonær,0.1210552491247654,0.0249234177172184,0.096131831407547
8,sosialrådmann,0.05151567794382572,0.03728393092751503,0.014231747016310692
9,kursveileder,0.02163088321685791,0.07902316749095917,-0.05739228427410126
10,forvaltningsassistent ,0.03641961328685284,0.01672971062362194,0.019689902663230896
11,overhelsesøster/overhelsesykepleier,0.01950356736779213,0.019949790090322495,-0.000446222722530365
12,web-redaktør ,0.049403782933950424,0.04880520887672901,0.0005985740572214127
13,senior kvartermester,0.07595328986644745,0.03690153732895851,0.03905175253748894
14,assisterende politidirektør,0.04420934058725834,0.022708125412464142,0.021501215174794197
15,helsesekretær,0.025574035942554474,0.03040863759815693,-0.004834601655602455
16,forsikringsassistent,0.042473094537854195,0.01948997750878334,0.022983117029070854
17,husholdsassistent,0.017160719260573387,0.013524958863854408,0.003635760396718979
18,bokhandlermedhjelper,0.035679712891578674,0.11858388781547546,-0.08290417492389679
19,økonomirådgiver ,0.0919875018298626,0.029316464439034462,0.06267103739082813
20,ungdomskonsulent,0.07896914146840572,0.023538164794445038,0.055430976673960686
21,"avdelingssjef skogbruk, gartnerier mv.",0.11752641946077347,0.06556157022714615,0.05196484923362732
22,assisterende tårnarbeider,0.031893495470285416,0.0175858773291111,0.014307618141174316
23,investeringsrådgiver,0.03964564763009548,0.02655767649412155,0.01308797113597393
24,jordskiftedommerfullmektig,0.02735980600118637,0.04872577637434006,-0.021365970373153687
25,lege i spesialisering ,0.20947427302598953,0.022099947556853294,0.18737432546913624
26,assisterende kommunegartner,0.033101651817560196,0.04671724513173103,-0.013615593314170837
27,assisterende ballettsjef,0.021846208721399307,0.017960743978619576,0.0038854647427797318
28,riksrevisors sekretær,0.11625760048627853,0.07046392560005188,0.045793674886226654
29,mattilsynskontrollør,0.028624851256608963,0.02950458973646164,-0.0008797384798526764
30,bibliotekkonsulent,0.033793166279792786,0.029739035293459892,0.004054130986332893
31,forliksrådsmedlem,0.029517004266381264,0.0806531086564064,-0.05113610439002514
32,byrådssekretær ,0.061526885256171227,0.04788464307785034,0.013642242178320885
