,Yrke,P(han),P(hun),Differanse
0,flyeksportmedarbeider ,0.095479816198349,0.08694208413362503,0.008537732064723969
1,fotomedarbeider,0.05414794012904167,0.09810462594032288,-0.043956685811281204
2,elverksmontør gruppe a + b,0.0417279452085495,0.02596099115908146,0.01576695404946804
3,ekspedisjonssjef,0.24530921876430511,0.03310597687959671,0.2122032418847084
4,saksbehandler ,0.04785575717687607,0.10755518078804016,-0.05969942361116409
5,lagerleder,0.07317027449607849,0.03844815865159035,0.034722115844488144
6,prosessoperatør ,0.12369030714035034,0.02918797731399536,0.09450232982635498
7,innkjøpsingeniør,0.23350350558757782,0.05147341266274452,0.1820300929248333
8,programkoordinator ,0.1585746556520462,0.22841393947601318,-0.06983928382396698
9,butikksjef ,0.1705683469772339,0.08942586183547974,0.08114248514175415
10,jernbanefullmektig,0.01782592013478279,0.020414045080542564,-0.0025881249457597733
11,internatleder,0.10687767714262009,0.09625860303640366,0.01061907410621643
12,fylkeshelsesjef,0.2404313087463379,0.11654151231050491,0.12388979643583298
13,konservator,0.09255038946866989,0.0570511668920517,0.035499222576618195
14,statsautorisert tolk,0.12550216913223267,0.0497216172516346,0.07578055188059807
15,obligasjonsmegler,0.12968404591083527,0.03514370694756508,0.09454033896327019
16,informasjonskonsulent,0.05864938348531723,0.08225274085998535,-0.02360335737466812
17,annenmaskinist,0.17082560062408447,0.02707546390593052,0.14375013671815395
18,mediakonsulent,0.05817461758852005,0.05080675333738327,0.00736786425113678
19,statist,0.03322802856564522,0.027587490156292915,0.0056405384093523026
20,fjernsynsreporter,0.4274438191205263,0.0684351772069931,0.3590086419135332
21,biokjemiker,0.1897340714931488,0.0806489810347557,0.1090850904583931
22,pelsdyrrøkter,0.13756117224693298,0.057663749903440475,0.07989742234349251
23,driftsansvarlig flyfrakt,0.09788975119590759,0.0679144561290741,0.029975295066833496
24,generalinspektør for sjøforsvaret,0.7288898606784642,0.06628014892339706,0.6626097117550671
25,fengselsnattevakt,0.020155878737568855,0.031176084652543068,-0.011020205914974213
26,steinfagarbeider,0.11712928861379623,0.05166707932949066,0.06546220928430557
27,"produksjonsingeniør, sivil ",0.16874538362026215,0.0795450359582901,0.08920034766197205
28,lakkerer,0.07078714668750763,0.009841106832027435,0.060946039855480194
29,logistikkmedarbeider,0.05046733468770981,0.07565387338399887,-0.025186538696289062
30,informasjonskoordinator,0.0881863683462143,0.12482696026563644,-0.03664059191942215
31,innskuddsjef ,0.059621360152959824,0.052271321415901184,0.0073500387370586395
32,finansanalytiker,0.4754248559474945,0.10402704030275345,0.37139781564474106
33,regnskapsassistent,0.019627807661890984,0.03848204389214516,-0.018854236230254173
34,fiskeritekniker,0.27357783913612366,0.07830186933279037,0.19527596980333328
35,inspeksjonsingeniør ,0.16048167645931244,0.019253145903348923,0.14122853055596352
36,papirmaskinfører,0.13575269281864166,0.016180139034986496,0.11957255378365517
37,skogbruker,0.44996482133865356,0.07244162261486053,0.37752319872379303
38,ledende aktivitør,0.054316774010658264,0.029839161783456802,0.024477612227201462
39,inneselger ,0.03212747722864151,0.03117075189948082,0.0009567253291606903
