,Yrke,P(han),P(hun),Differanse
0,skiutleier,0.12664790451526642,0.24833537638187408,-0.12168747186660767
1,siviløkonom,0.14589570462703705,0.32266947627067566,-0.1767737716436386
2,frisørmester,0.3524407148361206,0.2437693327665329,0.10867138206958771
3,flyvertlærling,0.1904677301645279,0.3153167963027954,-0.12484906613826752
4,petroleumsingeniør,0.16027839481830597,0.3927665650844574,-0.23248817026615143
5,møtebooker ,0.0778818130493164,0.082929827272892,-0.005048014223575592
6,undervisningsleder ,0.1329227238893509,0.22261323034763336,-0.08969050645828247
7,senior planleggsingsingeniør ,0.37062525749206543,0.023520782589912415,0.347104474902153
8,bemanningskonsulent,0.07643929123878479,0.17680802941322327,-0.10036873817443848
9,tollstedsjef,0.37653404474258423,0.2293868064880371,0.14714723825454712
10,parlamentarisk nestleder,0.15480363368988037,0.08305614441633224,0.07174748927354813
11,kunstkritiker,0.18210873007774353,0.3079969584941864,-0.12588822841644287
12,teateragent,0.17228271067142487,0.3336549997329712,-0.16137228906154633
13,advokat,0.15028902888298035,0.039900824427604675,0.11038820445537567
14,jordskifterettsleder,0.17140719294548035,0.3455474376678467,-0.17414024472236633
15,fagbokforfatter,0.17795269191265106,0.33869728446006775,-0.1607445925474167
16,agronomassistent ,0.35041823983192444,0.07482075691223145,0.275597482919693
17,meddommer ,0.14948223531246185,0.0899805873632431,0.05950164794921875
18,kulturskolelærer,0.08142014592885971,0.5093765258789062,-0.42795637995004654
19,baaderreparatør,0.3568474054336548,0.1465907245874405,0.2102566808462143
20,regnskapsfører,0.13770712912082672,0.09663962572813034,0.04106750339269638
21,hjulutrustningsreparatør,0.39504286646842957,0.10661281645298004,0.2884300500154495
22,kursleder ,0.1530885100364685,0.11214110255241394,0.040947407484054565
23,generalplansjef,0.3791755437850952,0.07497519254684448,0.30420035123825073
24,resepsjonsvakt ,0.16780538856983185,0.18789692223072052,-0.020091533660888672
25,forsøkstekniker ,0.28989019989967346,0.12165989726781845,0.168230302631855
26,badebetjent,0.1049964502453804,0.1710319072008133,-0.06603545695543289
27,handelsagent,0.20571188628673553,0.1442960500717163,0.061415836215019226
28,administrasjonssjef ,0.2078048288822174,0.2287820279598236,-0.0209771990776062
29,ortoptist,0.337895005941391,0.1771092414855957,0.1607857644557953
30,statslos,0.13201159238815308,0.09583233296871185,0.03617925941944122
31,soussjef ,0.2662489116191864,0.11699727922677994,0.14925163239240646
32,innredningskonsulent,0.07063522934913635,0.16401049494743347,-0.09337526559829712
33,godstrafikkdirektør,0.29081714153289795,0.053590528666973114,0.23722661286592484
34,studioleder ,0.2713985741138458,0.1588980108499527,0.11250056326389313
35,elevassistent,0.16026848554611206,0.291281521320343,-0.13101303577423096
36,værelsesassistent,0.1036686897277832,0.21099399030208588,-0.10732530057430267
37,grossist ,0.12285295873880386,0.0710371807217598,0.05181577801704407
38,murmester,0.3031800091266632,0.10751191526651382,0.19566809386014938
39,radartekniker,0.3163360059261322,0.09321527928113937,0.22312072664499283
40,eksportkonsulent,0.08820077776908875,0.1989472657442093,-0.11074648797512054
41,førsteradiograf,0.29390597343444824,0.12460081279277802,0.16930516064167023
42,legemiddelinspektør,0.4169817566871643,0.07710187882184982,0.3398798778653145
43,værelsesbetjent,0.17629647254943848,0.1651156097650528,0.011180862784385681
44,avdelingsdirektør ,0.20058944821357727,0.12343034148216248,0.0771591067314148
45,annenflyger,0.1254783272743225,0.08100292831659317,0.04447539895772934
46,organist,0.11463289707899094,0.046761654317379,0.06787124276161194
47,pressekontakt,0.09299026429653168,0.11858344823122025,-0.025593183934688568
48,kokillestøper,0.1041632816195488,0.03273332491517067,0.07142995670437813
49,farmasøyt ,0.2192499190568924,0.13125815987586975,0.08799175918102264
50,reiseinspektør ,0.1336107701063156,0.2325367033481598,-0.09892593324184418
51,elektrokontrollør,0.2599712312221527,0.16733555495738983,0.09263567626476288
52,pedagogisk leder ,0.22704188525676727,0.20694215595722198,0.020099729299545288
53,kusk,0.1641589105129242,0.15502949059009552,0.009129419922828674
54,sjef ,0.06379423290491104,0.07504506409168243,-0.011250831186771393
55,kontrollfullmektig ,0.17656828463077545,0.3595578074455261,-0.18298952281475067
56,sjokoladeselger,0.07543821632862091,0.1716626137495041,-0.09622439742088318
57,børsmegler,0.15646173059940338,0.03872182220220566,0.11773990839719772
58,platearbeider,0.18812580406665802,0.22817951440811157,-0.04005371034145355
59,sosialarbeider ,0.12437938153743744,0.3271626830101013,-0.20278330147266388
60,byråd,0.13636502623558044,0.137420654296875,-0.0010556280612945557
61,gestaltterapeut,0.29750144481658936,0.18333742022514343,0.11416402459144592
62,maritim sjef,0.19864380359649658,0.06399193406105042,0.13465186953544617
63,førstemeteorologifullmektig,0.2307170033454895,0.19882524013519287,0.03189176321029663
64,programtekniker ,0.20012478530406952,0.21797695755958557,-0.017852172255516052
65,fagspesialist ,0.15735478699207306,0.27905383706092834,-0.12169905006885529
66,internatleder,0.14024296402931213,0.09455906599760056,0.04568389803171158
67,baderreparatør,0.33778291940689087,0.217005655169487,0.12077726423740387
68,radiooperatør ,0.20415948331356049,0.1420080065727234,0.0621514767408371
69,strengeinstrumentmaker,0.33531272411346436,0.06495066732168198,0.2703620567917824
70,spesialarbeider ,0.13061299920082092,0.18017341196537018,-0.049560412764549255
71,pleiemedarbeider ,0.1440429389476776,0.34757229685783386,-0.20352935791015625
72,sementeringstekniker ,0.29871484637260437,0.14522768557071686,0.1534871608018875
73,ligningsrevisor ,0.3396075665950775,0.09381270408630371,0.2457948625087738
74,sivilforsvarsdistriktssjef,0.3180050551891327,0.21742573380470276,0.10057932138442993
75,fagansvarlig ,0.18480290472507477,0.18876078724861145,-0.003957882523536682
76,assisterende tårnmann,0.3934013545513153,0.05799886956810951,0.3354024849832058
77,megler ,0.08123911917209625,0.06102782487869263,0.020211294293403625
78,snekkerlærling,0.11054607480764389,0.4120368957519531,-0.30149082094430923
79,vingsersjant,0.12053542584180832,0.06334029138088226,0.057195134460926056
80,sjefsarkitekt,0.3246765434741974,0.18745678663253784,0.13721975684165955
81,jurymedlem ,0.10745405405759811,0.16048288345336914,-0.05302882939577103
82,jordbrukssjef,0.18415015935897827,0.18505434691905975,-0.0009041875600814819
83,gullsmed,0.18303130567073822,0.15652123093605042,0.026510074734687805
84,teamleder ,0.2891589403152466,0.04226535186171532,0.24689358845353127
85,restaurantsjef ,0.12139758467674255,0.09891829639673233,0.022479288280010223
86,amanuensis,0.35373759269714355,0.15039783716201782,0.20333975553512573
87,forvaltningsingeniør ,0.2193221002817154,0.3163965940475464,-0.097074493765831
88,bomringvakt,0.11140337586402893,0.2565058767795563,-0.14510250091552734
89,distriktsgartner,0.20948244631290436,0.11257242411375046,0.0969100221991539
90,havnevert ,0.13195082545280457,0.13581961393356323,-0.003868788480758667
91,glassmesterlærling,0.11265277862548828,0.42340847849845886,-0.3107556998729706
92,organisasjonsrådgiver,0.09305594116449356,0.13930438458919525,-0.04624844342470169
93,tilsynsveterinær,0.24318888783454895,0.16377611458301544,0.07941277325153351
94,resepsjonsfunksjonær ,0.18850520253181458,0.1522122025489807,0.03629299998283386
95,togelektriker,0.10880300402641296,0.10195104032754898,0.006851963698863983
96,dataregistreringsoperatør,0.1750136911869049,0.03314090520143509,0.14187278598546982
97,korrosjonsbehandler,0.1683058887720108,0.1392805427312851,0.029025346040725708
98,førstepasser ,0.12160415947437286,0.06467753648757935,0.05692662298679352
99,mykolog,0.12551605701446533,0.38012319803237915,-0.2546071410179138
100,bystyrerepresentant,0.16266031563282013,0.47117623686790466,-0.30851592123508453
101,stillasbygger,0.3499138057231903,0.10842015594244003,0.24149364978075027
102,fylkesskogsmesterassistent,0.1323673129081726,0.5047973394393921,-0.3724300265312195
103,logoped,0.1261853724718094,0.23258386552333832,-0.10639849305152893
104,sveiseingeniør ,0.3287138044834137,0.12977996468544006,0.19893383979797363
105,kalanderoperatør ,0.10447815805673599,0.06340330094099045,0.041074857115745544
106,telekommunikasjonstekniker,0.26093798875808716,0.16371870040893555,0.09721928834915161
107,lystekniker,0.18978746235370636,0.13710442185401917,0.052683040499687195
108,statist,0.0935884416103363,0.14432582259178162,-0.05073738098144531
109,assisterende tårnarbeider,0.24129393696784973,0.1844751238822937,0.05681881308555603
110,turnuskandidat,0.10562290251255035,0.09969770163297653,0.005925200879573822
111,materialoperatør,0.272664338350296,0.2673504948616028,0.005313843488693237
112,"driftsingeniør, sivil ",0.3113529086112976,0.14113715291023254,0.17021575570106506
113,korrespondent,0.13023371994495392,0.21973827481269836,-0.08950455486774445
114,assistentfotograf ,0.2188633382320404,0.1796317845582962,0.0392315536737442
115,orgelbygger,0.34037092328071594,0.17873449623584747,0.16163642704486847
116,lufthavnsjef,0.34383681416511536,0.09975817054510117,0.2440786436200142
117,tallmagiker,0.2635796070098877,0.050070375204086304,0.2135092318058014
118,blyglassmestersvenn,0.5135605931282043,0.036281030625104904,0.47727956250309944
119,frisørlærling,0.14005941152572632,0.396873414516449,-0.25681400299072266
120,imam,0.2567121088504791,0.11084506660699844,0.14586704224348068
121,vaskeriassistent,0.19171422719955444,0.25740954279899597,-0.06569531559944153
122,trafikksjef,0.23848894238471985,0.17081673443317413,0.06767220795154572
123,klinisk sosionom,0.18048760294914246,0.4317718744277954,-0.25128427147865295
124,butikkekspeditør,0.3024042248725891,0.22606992721557617,0.07633429765701294
125,pleiemedhjelper ,0.09410079568624496,0.35461050271987915,-0.2605097070336342
126,gjerdemontør,0.24294212460517883,0.04799739643931389,0.19494472816586494
127,gravemaskinkjører,0.20277094841003418,0.0721033439040184,0.13066760450601578
128,tunnel- og fjellarbeider,0.2230249047279358,0.08277837932109833,0.14024652540683746
129,spesialutreder ,0.11356988549232483,0.06888808310031891,0.04468180239200592
130,departementsråd,0.22608403861522675,0.26382189989089966,-0.03773786127567291
131,eldreomsorgssjef,0.15563911199569702,0.23811273276805878,-0.08247362077236176
132,bilberger,0.15827219188213348,0.11706040799617767,0.04121178388595581
133,kredittsjef,0.17612959444522858,0.07341557741165161,0.10271401703357697
134,salgsrepresentant ,0.1342765837907791,0.06338664889335632,0.07088993489742279
135,universitetsdirektør,0.28938373923301697,0.2825394868850708,0.006844252347946167
136,spesiallege,0.2721356749534607,0.03876962512731552,0.23336604982614517
137,smørmaker ,0.3107088506221771,0.039912108331918716,0.2707967422902584
138,overbrannmester,0.448498398065567,0.07226119935512543,0.3762371987104416
139,brenneriarbeider,0.21518489718437195,0.20290134847164154,0.012283548712730408
140,politiinspektør,0.23284125328063965,0.07223322242498398,0.16060803085565567
141,tekstilkunstner,0.21454478800296783,0.3892974555492401,-0.17475266754627228
142,trubadur,0.10348209738731384,0.18568797409534454,-0.0822058767080307
143,bokollektivmedarbeider,0.18914760649204254,0.3420790135860443,-0.15293140709400177
144,leveringsansvarlig ,0.07409846037626266,0.13326585292816162,-0.059167392551898956
145,båtvert,0.19594058394432068,0.21763940155506134,-0.02169881761074066
146,dramalærer,0.11411683261394501,0.4710708260536194,-0.3569539934396744
147,møbeltapetsermester,0.3453657627105713,0.1476278007030487,0.19773796200752258
148,husdyrkonsulent,0.1784002184867859,0.22114041447639465,-0.042740195989608765
149,anleggsgartnermester,0.35972002148628235,0.08205636590719223,0.2776636555790901
150,assisterende direktør ,0.20542849600315094,0.08030270040035248,0.12512579560279846
151,travtrener,0.4506268799304962,0.15518911182880402,0.2954377681016922
152,varabrannsjef,0.4185214042663574,0.14272265136241913,0.2757987529039383
153,sosialsekretær,0.1698266863822937,0.21646161377429962,-0.04663492739200592
154,forskjærer ,0.14174485206604004,0.02595631405711174,0.1157885380089283
155,fakturaskriver,0.11567942798137665,0.0664815828204155,0.04919784516096115
156,sikkerhetskonsulent ,0.062383078038692474,0.10356906801462173,-0.04118598997592926
157,produksjonselektroniker,0.41829589009284973,0.06709682196378708,0.35119906812906265
158,ressurskoordinator ,0.20729924738407135,0.1968841254711151,0.010415121912956238
159,oppmålingssjef ,0.37479016184806824,0.07460003346204758,0.30019012838602066
160,assisterende sjefstråleterapeut,0.3966675102710724,0.08880127221345901,0.3078662380576134
161,verkstedansvarlig  ,0.2959190011024475,0.14876988530158997,0.14714911580085754
162,elektrolyseoperatør,0.13836213946342468,0.10639434307813644,0.03196779638528824
163,sendelagsleder,0.08838562667369843,0.19684474170207977,-0.10845911502838135
164,markedssjef,0.09126858413219452,0.07553756237030029,0.015731021761894226
165,førstepostbetjent,0.2097061574459076,0.20270518958568573,0.007000967860221863
166,importmedarbeider,0.24540716409683228,0.22448508441448212,0.02092207968235016
167,kirkevaktmester,0.33458295464515686,0.16643986105918884,0.16814309358596802
168,hollenderifører ,0.30252188444137573,0.1086450070142746,0.19387687742710114
169,overassistent ,0.1120840534567833,0.06187780201435089,0.050206251442432404
170,dokumentkontrollør ,0.14099697768688202,0.12771016359329224,0.013286814093589783
171,bibliotekkonsulent,0.11857782304286957,0.3790294826030731,-0.26045165956020355
172,systemkoordinator,0.2099095731973648,0.02783074602484703,0.18207882717251778
173,sikkerhetsingeniør,0.3660564124584198,0.12052382528781891,0.2455325871706009
174,forskaler,0.21203301846981049,0.050709836184978485,0.161323182284832
175,boresjef,0.21999388933181763,0.019221531227231026,0.2007723581045866
176,forvaltningsassistent ,0.13835151493549347,0.07474716007709503,0.06360435485839844
177,naturterapeut,0.16847170889377594,0.24350254237651825,-0.07503083348274231
178,krisesentermedarbeider,0.11035215109586716,0.24355751276016235,-0.1332053616642952
179,fjøsmester,0.4207322597503662,0.13533544540405273,0.2853968143463135
180,juridisk konsulent ,0.17878514528274536,0.23709771037101746,-0.058312565088272095
181,vaktmester i,0.5454842448234558,0.11836186051368713,0.4271223843097687
182,reassuransekonsulent,0.3217117488384247,0.1699102222919464,0.15180152654647827
183,driftsoperatør ,0.07621742784976959,0.043793704360723495,0.0324237234890461
184,ortopeditekniker,0.310332715511322,0.2423243522644043,0.06800836324691772
185,biltrafikkdirektør,0.4365408420562744,0.0879451185464859,0.3485957235097885
186,skogassistent,0.20944428443908691,0.26245683431625366,-0.05301254987716675
187,instituttsjef ,0.2434282898902893,0.14408117532730103,0.09934711456298828
188,signalmontør,0.1978224515914917,0.05704408138990402,0.14077837020158768
189,husøkonom,0.08491330593824387,0.277652382850647,-0.1927390769124031
190,cruiseassistent,0.21417246758937836,0.2021862417459488,0.011986225843429565
191,teknisk leder ,0.37172064185142517,0.1068827360868454,0.2648379057645798
192,butikkonsulent,0.19806092977523804,0.24354639649391174,-0.045485466718673706
193,fylkesherredskogmester,0.4684295356273651,0.1642422378063202,0.3041872978210449
194,truckfører,0.18495503067970276,0.05877267196774483,0.12618235871195793
195,optikerlærling,0.08940251171588898,0.4578200876712799,-0.36841757595539093
196,inspektør ,0.24004074931144714,0.11372477561235428,0.12631597369909286
197,kulturvernkonsulent,0.1555255800485611,0.3208094537258148,-0.16528387367725372
198,telefonakkvisitør,0.157714381814003,0.248988538980484,-0.09127415716648102
199,rodeleder,0.07136618345975876,0.023481879383325577,0.04788430407643318
200,datasjef,0.3221372067928314,0.06817267835140228,0.25396452844142914
201,banemester,0.014172576367855072,0.08103615045547485,-0.06686357408761978
202,betongindustriarbeider,0.1571337729692459,0.19914516806602478,-0.04201139509677887
203,inkassoleder,0.1798027902841568,0.0809364914894104,0.0988662987947464
204,sjauer,0.21379637718200684,0.04108450189232826,0.17271187528967857
205,ledende ortopediingeniør,0.31833210587501526,0.08433794975280762,0.23399415612220764
206,odontolog,0.45208054780960083,0.13163021206855774,0.3204503357410431
207,billettekspeditør,0.26098012924194336,0.11608655750751495,0.1448935717344284
208,emaljør,0.18308258056640625,0.17020736634731293,0.012875214219093323
209,personlig assistent ,0.23526716232299805,0.15863081812858582,0.07663634419441223
210,klinisk pedagog ,0.25346559286117554,0.31740328669548035,-0.06393769383430481
211,lekotekleder,0.2818688750267029,0.2549651563167572,0.02690371870994568
212,bandasjist,0.013345061801373959,0.044909149408340454,-0.031564087606966496
213,adjunkt ,0.13494175672531128,0.244718998670578,-0.10977724194526672
214,vollyballtrener,0.4367404878139496,0.058625683188438416,0.37811480462551117
215,byggesjef,0.2982465922832489,0.08329208940267563,0.21495450288057327
216,serigrafmester,0.02744278870522976,0.025784960016608238,0.001657828688621521
217,synspedagog,0.17205901443958282,0.364929735660553,-0.19287072122097015
218,byggekranfører,0.22173060476779938,0.15907618403434753,0.06265442073345184
219,ledsager,0.09599809348583221,0.07804537564516068,0.01795271784067154
220,kvalitetsdirektør ,0.15642604231834412,0.07997945696115494,0.07644658535718918
221,regnskapskontrollør,0.1482076793909073,0.1059638038277626,0.042243875563144684
222,prosessansvarlig for systemutvikling ,0.5063154101371765,0.10583161562681198,0.40048379451036453
223,systemadministrator,0.21424248814582825,0.0281799528747797,0.18606253527104855
224,vektkontrollør ,0.24250203371047974,0.12381186336278915,0.11869017034769058
225,skanneransvarlig ,0.17477071285247803,0.1526089310646057,0.022161781787872314
226,avdelingssjef ,0.29658037424087524,0.19855695962905884,0.0980234146118164
227,sveiserlærling,0.12801019847393036,0.36003315448760986,-0.2320229560136795
228,kirkegårdforstander,0.26384735107421875,0.11984823644161224,0.1439991146326065
229,flymotormekaniker,0.18840055167675018,0.19685997068881989,-0.008459419012069702
230,sjefsmegler ,0.18699751794338226,0.10408157855272293,0.08291593939065933
231,mottaksleder,0.16084057092666626,0.17313185334205627,-0.012291282415390015
232,kulturminnekonsulent,0.25553053617477417,0.3080253005027771,-0.05249476432800293
233,skøyteinstruktør,0.3920321464538574,0.23182035982608795,0.16021178662776947
234,privatsjåfør,0.08218257874250412,0.07017625868320465,0.012006320059299469
235,assisterende kommunegartner,0.32962170243263245,0.19341790676116943,0.136203795671463
236,brukerrepresentant ,0.09678804129362106,0.07474344223737717,0.022044599056243896
237,provisorfarmasøyt,0.38995081186294556,0.13333670794963837,0.2566141039133072
238,bilselger,0.06600666791200638,0.15954408049583435,-0.09353741258382797
239,vernepleier ,0.05567828565835953,0.28788119554519653,-0.232202909886837
240,revisormedarbeider,0.21953336894512177,0.1939634382724762,0.02556993067264557
241,smed,0.037427376955747604,0.03286793828010559,0.0045594386756420135
242,filmassistent,0.19048313796520233,0.3428310751914978,-0.15234793722629547
243,landbruksattache,0.26940855383872986,0.11289940029382706,0.1565091535449028
244,maritim personalkonsulent,0.16916337609291077,0.3495475947856903,-0.18038421869277954
245,bydelsdirektør ,0.3467501997947693,0.18114975094795227,0.16560044884681702
246,banesjef,0.4213159680366516,0.04186227172613144,0.37945369631052017
247,bankrevisor,0.2437395304441452,0.23311571776866913,0.010623812675476074
248,ishockeyspiller,0.22694744169712067,0.2930818498134613,-0.06613440811634064
249,sosialrådmann,0.2758956253528595,0.22233667969703674,0.053558945655822754
250,dørselger,0.0944921150803566,0.07784504443407059,0.01664707064628601
251,byssegutt,0.17862696945667267,0.04294085130095482,0.13568611815571785
252,banemontør,0.45075926184654236,0.0674859806895256,0.38327328115701675
253,strikkemaskinoperatør,0.25376227498054504,0.18859755992889404,0.065164715051651
254,vedlikeholdsleder,0.2290351688861847,0.10978332906961441,0.11925183981657028
255,kontorist,0.23542334139347076,0.26171985268592834,-0.02629651129245758
256,audiopedagog,0.2233806997537613,0.2673764228820801,-0.04399572312831879
257,taktekker,0.23026053607463837,0.01765383593738079,0.21260670013725758
258,operasjonssykepleier,0.026348216459155083,0.40450409054756165,-0.37815587408840656
259,idrettsseksjonsleder,0.17670130729675293,0.23604580760002136,-0.05934450030326843
260,avdelingsarkitekt,0.1798573136329651,0.2745388150215149,-0.0946815013885498
261,renseriarbeider,0.09703778475522995,0.20392385125160217,-0.10688606649637222
262,innkjøpsanalytiker,0.11936812102794647,0.12469413131475449,-0.005326010286808014
263,riksrevisors sekretær,0.20122389495372772,0.48955613374710083,-0.2883322387933731
264,plan- og anleggsjef ,0.2658056914806366,0.12823869287967682,0.13756699860095978
265,elmontør,0.16713757812976837,0.06468047201633453,0.10245710611343384
266,tannlege,0.18924292922019958,0.20787976682186127,-0.018636837601661682
267,professor ,0.29045701026916504,0.1442745476961136,0.14618246257305145
268,servitør ,0.11941757798194885,0.29450228810310364,-0.17508471012115479
269,produksjonsmedarbeider ,0.18834188580513,0.22130069136619568,-0.032958805561065674
270,pølsemakeriarbeider,0.27141061425209045,0.09774519503116608,0.17366541922092438
271,beredskapsleder ,0.22664374113082886,0.06682143360376358,0.15982230752706528
272,apoteker ,0.16181084513664246,0.2734423875808716,-0.11163154244422913
273,assisterende rektor ,0.2292659431695938,0.20888841152191162,0.02037753164768219
274,akrobat,0.15126842260360718,0.19404345750808716,-0.04277503490447998
275,maskinsnekker,0.20417477190494537,0.08985956758260727,0.1143152043223381
276,mekaniker ,0.3819151222705841,0.15423011779785156,0.22768500447273254
277,parykkmaker,0.2507048547267914,0.2281346619129181,0.02257019281387329
278,lokomotivmester,0.5057576298713684,0.18437327444553375,0.32138435542583466
279,fruktkonserverer ,0.11433008313179016,0.15375229716300964,-0.03942221403121948
280,billettselger ,0.1391417682170868,0.11134538054466248,0.027796387672424316
281,reservedelsekspeditør,0.14538149535655975,0.08236300200223923,0.06301849335432053
282,badebestyrer,0.19207032024860382,0.18523526191711426,0.006835058331489563
283,hartskoker,0.18766166269779205,0.07863855361938477,0.10902310907840729
284,teaterpedagog,0.14014922082424164,0.4985153079032898,-0.35836608707904816
285,namsfogd,0.199079692363739,0.11116345226764679,0.08791624009609222
286,stasjonsarbeider ,0.14690493047237396,0.15004758536815643,-0.0031426548957824707
287,skipsreperatør,0.25943639874458313,0.12714947760105133,0.1322869211435318
288,bilpleier,0.0977790504693985,0.40754327178001404,-0.30976422131061554
289,kontormedarbeider ,0.18461531400680542,0.28796201944351196,-0.10334670543670654
290,instrumentrørlegger,0.19158698618412018,0.050350312143564224,0.14123667404055595
291,bulldoserkjører,0.17062394320964813,0.05509423464536667,0.11552970856428146
292,papiroperatør,0.14754298329353333,0.10939282178878784,0.03815016150474548
293,samferdselssjef ,0.23575852811336517,0.18525134027004242,0.050507187843322754
294,førstekokk,0.3073454201221466,0.1315491497516632,0.1757962703704834
295,karriereveileder ,0.07677386701107025,0.20929934084415436,-0.1325254738330841
296,lokomotivførerassistent,0.1979532539844513,0.3400907516479492,-0.14213749766349792
297,promotionkonsulent,0.15508128702640533,0.26959535479545593,-0.1145140677690506
298,fyrmester,0.38718312978744507,0.08542808890342712,0.30175504088401794
299,handelsattaché,0.28191208839416504,0.1402696669101715,0.14164242148399353
300,intensivsykepleier,0.1244608461856842,0.34798452258110046,-0.22352367639541626
301,treskjærermester,0.37536951899528503,0.09620346873998642,0.2791660502552986
302,ortopediteknisk sjef,0.3544654846191406,0.23402632772922516,0.12043915688991547
303,e-verksjef ,0.2413138449192047,0.09377160668373108,0.14754223823547363
304,telegrafist,0.21984103322029114,0.18768812716007233,0.03215290606021881
305,lærerspesialist ,0.2297387719154358,0.32377326488494873,-0.09403449296951294
306,controller ,0.10029926896095276,0.07648856937885284,0.023810699582099915
307,kulturrådmann,0.2888619899749756,0.2552487254142761,0.03361326456069946
308,samlingsforvalter ,0.2581331431865692,0.11101702600717545,0.14711611717939377
309,traktorfører,0.2759871482849121,0.06113126128911972,0.2148558869957924
310,tanntekniker,0.25722911953926086,0.2502378225326538,0.006991297006607056
311,opplagsjef,0.2402431070804596,0.0581672266125679,0.1820758804678917
312,traverskranfører,0.23403914272785187,0.1437520831823349,0.09028705954551697
313,skreddermester,0.3869818449020386,0.0642637237906456,0.322718121111393
314,administrasjonsdirektør,0.23509861528873444,0.2019692063331604,0.033129408955574036
315,pleiemedarbeider,0.1440429389476776,0.34757229685783386,-0.20352935791015625
316,seniorarkitekt,0.33558669686317444,0.21665865182876587,0.11892804503440857
317,områdesjef ,0.13504423201084137,0.10351188480854034,0.031532347202301025
318,logistiker,0.28677865862846375,0.1172601506114006,0.16951850801706314
319,flygelreparatør,0.243052676320076,0.29473167657852173,-0.05167900025844574
320,distriktssjef ,0.19761618971824646,0.13488134741783142,0.06273484230041504
321,sjefflygeleder,0.19620637595653534,0.06636913865804672,0.12983723729848862
322,jordskiftedommerfullmektig,0.09299323707818985,0.45425158739089966,-0.3612583503127098
323,førstekonsulent ,0.1892721951007843,0.1939793825149536,-0.0047071874141693115
324,installasjonselektriker,0.18809567391872406,0.10297694802284241,0.08511872589588165
325,kontrollromsoperatør,0.29320991039276123,0.0836573913693428,0.20955251902341843
326,helseinformatiker,0.03596015274524689,0.02920933999121189,0.006750812754034996
327,markedsføringsassistent,0.20368491113185883,0.14524947106838226,0.05843544006347656
328,it-teknisk konsulent,0.22896766662597656,0.11647175997495651,0.11249590665102005
329,samfunnsgeograf,0.3844703435897827,0.18398404121398926,0.20048630237579346
330,pastor,0.38379260897636414,0.06596419960260391,0.3178284093737602
331,muddermaskinfører,0.2884918451309204,0.09688328206539154,0.19160856306552887
332,kontrollsjef ,0.29318174719810486,0.05708412081003189,0.23609762638807297
333,vaskeribetjent,0.11997124552726746,0.2012663185596466,-0.08129507303237915
334,geriatrisykepleier,0.055102549493312836,0.4758912920951843,-0.4207887426018715
335,tennistrener,0.4601086974143982,0.20698100328445435,0.25312769412994385
336,kundeservicemedarbeider ,0.10352107137441635,0.22161121666431427,-0.11809014528989792
337,gartner,0.23884283006191254,0.14901399612426758,0.08982883393764496
338,blyglassmester,0.27732565999031067,0.03749534860253334,0.23983031138777733
339,kjellermester,0.016713840886950493,0.07498042285442352,-0.05826658196747303
340,verksmester ,0.4033614993095398,0.10106324404478073,0.30229825526475906
341,autoklavoperatør ,0.06368494778871536,0.04765499010682106,0.016029957681894302
342,bunkersansvarlig,0.21465297043323517,0.10036452114582062,0.11428844928741455
343,formstøper ,0.26513752341270447,0.05270081385970116,0.2124367095530033
344,rettspsykiater,0.47808557748794556,0.1920582354068756,0.28602734208106995
345,trebåtbygger,0.27572569251060486,0.15257982909679413,0.12314586341381073
346,varehussjef ,0.3083305358886719,0.22658288478851318,0.08174765110015869
347,dekormaler,0.11720619350671768,0.13127823173999786,-0.014072038233280182
348,trikkefører,0.12450365722179413,0.21351569890975952,-0.0890120416879654
