,Adjektiv,P(han),P(hun),Differanse
0,a posteriori,0.7444514036178589,0.04368029162287712,0.7007711119949818
1,a priori,0.5905349850654602,0.1305168867111206,0.4600180983543396
2,aaben,0.30796366930007935,0.062314312905073166,0.24564935639500618
3,aabenbar,0.4240149259567261,0.057560890913009644,0.36645403504371643
4,aabenhjertet,0.39338669180870056,0.11866211146116257,0.274724580347538
5,abdominal,0.5083803534507751,0.0675106942653656,0.44086965918540955
6,abkhasisk,0.6737020015716553,0.08919497579336166,0.5845070257782936
7,abnorm,0.25976142287254333,0.025274239480495453,0.23448718339204788
8,abortiv,0.33849990367889404,0.22456547617912292,0.11393442749977112
9,abrupt,0.4208895266056061,0.0379798598587513,0.3829096667468548
10,absolutt,0.4626711905002594,0.19086205959320068,0.2718091309070587
11,abstinent,0.30189603567123413,0.17008541524410248,0.13181062042713165
12,abstrakt,0.18657322227954865,0.08506938815116882,0.10150383412837982
13,absurd,0.1585751324892044,0.09712788462638855,0.06144724786281586
14,additiv,0.47417837381362915,0.05671143904328346,0.4174669347703457
15,adekvat,0.5902647972106934,0.12452121824026108,0.4657435789704323
16,adelig,0.5969434380531311,0.10862991958856583,0.4883135184645653
17,adjektivisk,0.46906933188438416,0.16084910929203033,0.3082202225923538
18,administrativ,0.4829210340976715,0.18837407231330872,0.2945469617843628
19,adresseløs,0.38542577624320984,0.14491409063339233,0.2405116856098175
20,adstadig,0.5612901449203491,0.11633313447237015,0.444957010447979
21,advarende,0.2478058636188507,0.11127414554357529,0.13653171807527542
22,adverbial,0.5998753905296326,0.10720039904117584,0.4926749914884567
23,afatisk,0.6079381108283997,0.11097284406423569,0.49696526676416397
24,affektert,0.4099595844745636,0.10353793203830719,0.3064216524362564
25,affektiv,0.30068567395210266,0.17650525271892548,0.12418042123317719
26,affin,0.413103848695755,0.08473507314920425,0.32836877554655075
27,afghansk,0.4787323772907257,0.17969559133052826,0.29903678596019745
28,aforistisk,0.5644522905349731,0.11777424812316895,0.4466780424118042
29,afrikansk,0.31025826930999756,0.1022094339132309,0.20804883539676666
30,aggressiv,0.39564886689186096,0.14161847531795502,0.25403039157390594
31,agitatorisk,0.6145016551017761,0.14431840181350708,0.47018325328826904
32,agnostisk,0.4624682366847992,0.22509515285491943,0.23737308382987976
33,agrarisk,0.5190213322639465,0.1644672006368637,0.3545541316270828
34,agronomisk,0.22688154876232147,0.09626193344593048,0.130619615316391
35,akademisk,0.684916615486145,0.14748689532279968,0.5374297201633453
36,akrobatisk,0.5519490838050842,0.09604737162590027,0.45590171217918396
37,akseptabel,0.31803858280181885,0.17665407061576843,0.14138451218605042
38,aksial,0.5284724235534668,0.040310733020305634,0.48816169053316116
39,aktiv,0.42897212505340576,0.31487491726875305,0.11409720778465271
40,aktivistisk,0.4764997661113739,0.26870858669281006,0.20779117941856384
41,aktpågivende,0.4697583317756653,0.25717663764953613,0.21258169412612915
42,aktsom,0.17345073819160461,0.41285064816474915,-0.23939990997314453
43,aktuell,0.30117782950401306,0.150265634059906,0.15091219544410706
44,aktverdig,0.34818392992019653,0.3006070554256439,0.04757687449455261
45,akutt,0.1957566887140274,0.1767735332250595,0.018983155488967896
46,akvatisk,0.2910873293876648,0.08288570493459702,0.20820162445306778
47,albansk,0.26894262433052063,0.12026986479759216,0.14867275953292847
48,alderdommelig,0.5222185850143433,0.1427965760231018,0.37942200899124146
49,aldrende,0.6354009509086609,0.0889417827129364,0.5464591681957245
50,algebraisk,0.4140740931034088,0.04812832549214363,0.3659457676112652
51,algerisk,0.5648640394210815,0.08296754211187363,0.4818964973092079
52,alifatisk,0.6025838851928711,0.09002956748008728,0.5125543177127838
53,alkalisk,0.5157755017280579,0.060302361845970154,0.4554731398820877
54,alkoholisk,0.5966624617576599,0.27033570408821106,0.32632675766944885
55,all slags,0.5098421573638916,0.16280700266361237,0.34703515470027924
56,allegorisk,0.42447739839553833,0.12769126892089844,0.2967861294746399
57,allergisk,0.2734929621219635,0.36050325632095337,-0.08701029419898987
58,alliert,0.621451735496521,0.03177082538604736,0.5896809101104736
59,allmektig,0.4214695990085602,0.22633793950080872,0.19513165950775146
60,allmenn,0.32712429761886597,0.2717340588569641,0.055390238761901855
61,allsidig,0.3429113030433655,0.24928896129131317,0.09362234175205231
62,allslags,0.44573453068733215,0.22382181882858276,0.2219127118587494
63,alluvial,0.4832957088947296,0.2183011770248413,0.2649945318698883
64,allvitende,0.5171224474906921,0.1398891657590866,0.37723328173160553
65,alminnelig,0.3452700078487396,0.23719651997089386,0.10807348787784576
66,alskens,0.5221054553985596,0.15976190567016602,0.36234354972839355
67,alternativ,0.3840118944644928,0.19887840747833252,0.18513348698616028
68,alvorlig,0.2664835751056671,0.10640741139650345,0.16007616370916367
69,ambivalent,0.4259141683578491,0.27751368284225464,0.14840048551559448
70,amerikansk,0.30294325947761536,0.2418212890625,0.061121970415115356
71,amfibisk,0.16316534578800201,0.056234631687402725,0.10693071410059929
72,amper,0.27487504482269287,0.14950598776340485,0.12536905705928802
73,anal,0.3404013216495514,0.25096651911735535,0.08943480253219604
74,analytisk,0.5213610529899597,0.11854968965053558,0.40281136333942413
75,angivelig,0.4204132556915283,0.11979160457849503,0.3006216511130333
76,anglikansk,0.6611379981040955,0.0810997411608696,0.5800382569432259
77,annen,0.38574710488319397,0.09790732711553574,0.28783977776765823
78,annerledes,0.29676273465156555,0.23940277099609375,0.0573599636554718
79,annleis,0.4821786880493164,0.20631349086761475,0.27586519718170166
80,anonym,0.24275623261928558,0.2502281665802002,-0.007471933960914612
81,ansatt,0.4470715820789337,0.13175255060195923,0.3153190314769745
82,anskuelig,0.7314813733100891,0.12871579825878143,0.6027655750513077
83,anstendig,0.655617892742157,0.18079684674739838,0.4748210459947586
84,ansvarlig,0.44054362177848816,0.23376084864139557,0.2067827731370926
85,ansvarsfull,0.30554482340812683,0.21330751478672028,0.09223730862140656
86,ansvarsløs,0.2766060531139374,0.02015243098139763,0.25645362213253975
87,antonym,0.31642934679985046,0.1180681586265564,0.19836118817329407
88,apologetisk,0.5895573496818542,0.09405842423439026,0.495498925447464
89,apostolisk,0.6619344353675842,0.11645946651697159,0.5454749688506126
90,aprikos,0.6865348219871521,0.044560208916664124,0.641974613070488
91,arabisk,0.4335074722766876,0.17201967537403107,0.26148779690265656
92,arameisk,0.6094481945037842,0.12036839872598648,0.4890797957777977
93,arbeidende,0.5719107389450073,0.09243489801883698,0.47947584092617035
94,arbeidsledig,0.6252844333648682,0.1683357208967209,0.4569487124681473
95,arbeidsløs,0.27172088623046875,0.282053679227829,-0.01033279299736023
96,arbeidsom,0.5041740536689758,0.038817860186100006,0.4653561934828758
97,arbeidssky,0.364591121673584,0.3088357448577881,0.0557553768157959
98,arg,0.45013123750686646,0.10696806758642197,0.3431631699204445
99,ariansk,0.557945728302002,0.11760832369327545,0.4403374046087265
100,aristokratisk,0.6669477224349976,0.07333826273679733,0.5936094596982002
101,aritmetisk,0.629998505115509,0.12305568903684616,0.5069428160786629
102,arm,0.285664439201355,0.07439029961824417,0.2112741395831108
103,armensk,0.3940957188606262,0.11378329992294312,0.2803124189376831
104,arrete,0.401758074760437,0.1427721232175827,0.2589859515428543
105,arrogant,0.4253813922405243,0.15294203162193298,0.2724393606185913
106,artig,0.30662670731544495,0.19860297441482544,0.1080237329006195
107,arveløs,0.05602109432220459,0.06112208217382431,-0.0051009878516197205
108,aserbajdsjansk,0.6820853352546692,0.058280427008867264,0.6238049082458019
109,asimutal,0.633503794670105,0.07067316025495529,0.5628306344151497
110,askefast,0.4771256148815155,0.20819559693336487,0.26893001794815063
111,asosial,0.363748699426651,0.18334706127643585,0.18040163815021515
112,astrologisk,0.6440512537956238,0.06900490820407867,0.5750463455915451
113,asyklisk,0.35600516200065613,0.12329272925853729,0.23271243274211884
114,attributiv,0.610846757888794,0.1091100201010704,0.5017367377877235
115,attråverdig,0.48274606466293335,0.17269781231880188,0.31004825234413147
116,atypisk,0.2387344390153885,0.12354271113872528,0.11519172787666321
117,autonom,0.08199940621852875,0.10548771917819977,-0.02348831295967102
118,autorisert,0.4906337261199951,0.15583662688732147,0.33479709923267365
119,avansert,0.4886039197444916,0.07333802431821823,0.41526589542627335
120,avbaklig,0.6252675652503967,0.1795797049999237,0.445687860250473
121,avgjørende,0.4384039640426636,0.17177890241146088,0.2666250616312027
122,avhengig,0.20545132458209991,0.19368866086006165,0.011762663722038269
123,avind,0.5255016088485718,0.15029606223106384,0.37520554661750793
124,avleggs,0.5679084658622742,0.14043040573596954,0.4274780601263046
125,avskrekkende,0.35120052099227905,0.10888195782899857,0.2423185631632805
