,Adjektiv,P(han),P(hun),Differanse
1088,salongfähig,0.8118616342544556,0.0408843494951725,0.7709772847592831
0,a posteriori,0.7444514036178589,0.04368029162287712,0.7007711119949818
821,meddelsom,0.7249226570129395,0.03067922219634056,0.6942434348165989
345,fille,0.7248595356941223,0.0316309854388237,0.6932285502552986
632,kafkask,0.7346503138542175,0.051684051752090454,0.6829662621021271
1151,skipbrudden,0.7619184851646423,0.0873664990067482,0.6745519861578941
487,godtroende,0.7133852243423462,0.03908773139119148,0.6742974929511547
1299,tidlig,0.7165778279304504,0.0444110631942749,0.6721667647361755
1036,rasjonal,0.7283791303634644,0.06147073581814766,0.6669083945453167
323,fallitt,0.7123267650604248,0.049559663981199265,0.6627671010792255
169,bibliofil,0.7361763715744019,0.07468503713607788,0.661491334438324
1014,puertorikansk,0.7224050760269165,0.06615547835826874,0.6562495976686478
733,kumulativ,0.6954211592674255,0.052358925342559814,0.6430622339248657
90,aprikos,0.6865348219871521,0.044560208916664124,0.641974613070488
1003,predikativ,0.6830796599388123,0.052333764731884,0.6307458952069283
134,barokk,0.6897405385971069,0.0594942644238472,0.6302462741732597
884,nordenfjelsk,0.7441200613975525,0.11440075188875198,0.6297193095088005
808,mange,0.7017594575881958,0.07247482240200043,0.6292846351861954
877,nesegrus,0.6498025059700012,0.025835368782281876,0.6239671371877193
108,aserbajdsjansk,0.6820853352546692,0.058280427008867264,0.6238049082458019
569,i adams drakt,0.6712700128555298,0.04901764914393425,0.6222523637115955
1210,sterk som en okse,0.6989234089851379,0.0768776535987854,0.6220457553863525
521,hardnakka,0.6647213101387024,0.04331820085644722,0.6214031092822552
721,kriminell,0.6720364093780518,0.052335772663354874,0.6197006367146969
1278,tadsjikisk,0.7080129981040955,0.0908224955201149,0.6171905025839806
302,entusiastisk,0.70283442735672,0.08971793204545975,0.6131164953112602
415,fremgangsrik,0.683893084526062,0.07202023267745972,0.6118728518486023
279,elektromekanisk,0.6838282942771912,0.07292874157428741,0.6108995527029037
1531,vàr,0.6850232481956482,0.07945018261671066,0.6055730655789375
1295,tentativ,0.6713003516197205,0.06703877449035645,0.604261577129364
82,anskuelig,0.7314813733100891,0.12871579825878143,0.6027655750513077
506,guttegæren,0.7043176293373108,0.10350937396287918,0.6008082553744316
1471,uvitende,0.6561503410339355,0.055957913398742676,0.6001924276351929
643,keivhendt,0.6703404784202576,0.07099561393260956,0.599344864487648
890,normativ,0.6716277599334717,0.07441700249910355,0.5972107574343681
692,komparabel,0.6250517964363098,0.030720416456460953,0.5943313799798489
100,aristokratisk,0.6669477224349976,0.07333826273679733,0.5936094596982002
1348,turkis,0.6747774481773376,0.0814438909292221,0.5933335572481155
619,ivoriansk,0.6516186594963074,0.05880310758948326,0.5928155519068241
722,kristadelfiansk,0.6876723170280457,0.09491872787475586,0.5927535891532898
881,niten,0.6648589372634888,0.07461239397525787,0.5902465432882309
